Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Batangas Kaldereta,15 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/05/batangas-kaldereta-750x750.jpg,"[{""name"": ""beef chuck"", ""amount"": ""3"", ""unit"": ""lbs"", ""notes"": ""sliced into 1 \u00bd inch cubes""}, {""name"": ""red onions"", ""amount"": ""3"", ""unit"": ""pcs"", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""8"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""liver spread"", ""amount"": ""3"", ""unit"": ""oz"", ""notes"": """"}, {""name"": ""peanut butter"", ""amount"": ""2"", ""unit"": ""tbsp"", ""notes"": ""optional""}, {""name"": ""cheddar cheese"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": ""shredded""}, {""name"": ""sweet pickle relish"", ""amount"": ""3"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""annatto powder"", ""amount"": ""1"", ""unit"": ""tsp"", ""notes"": """"}, {""name"": ""beef powder"", ""amount"": ""1"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""Thai chili pepper"", ""amount"": ""3"", ""unit"": ""pcs"", ""notes"": ""chopped""}, {""name"": ""soy sauce"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Worcestershire sauce"", ""amount"": ""3"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""margarine"", ""amount"": ""3"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""breadcrumbs"", ""amount"": ""2"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Combine the beef and soy sauce in a bowl. Mix well. Marinate for 30 minutes."", ""Melt the margarine in a pan. Add the annatto powder and stir."", ""Add the garlic and saut\u00e9 until it starts to brown. Add the onion and continue to saut\u00e9 until it becomes soft. "", ""Add the marinated beef. Saut\u00e9 until the outer part turns light brown. Make sure to stir frequently while cooking to ensure that all sides are cooked evenly. "", ""Add the Worcestershire sauce and pickle relish. Cook for 2 minutes."", ""Pour in the water and let it boil."", ""Add the beef powder. Stir and cover the pan. Simmer until the beef becomes tender. "", ""Add the liver spread, peanut butter (optional), cheese, and chili peppers. Stir until the sauce smoothens. The sauce will thicken partially after a few minutes. "", ""Continue cooking on low heat for 5 minutes. Make sure to stir occasionally to prevent the sauce and meat from sticking to the bottom of the pan."", ""Add the breadcrumbs. This ingredient will make the sauce thicker."", ""Season with salt and ground black pepper."", ""Serve and dig in!""]"
Beef Empanada,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2013/07/beef-empanada-2-750x750.jpg,"[{""name"": ""ground beef"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""85% lean""}, {""name"": ""raisins"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""yellow onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""beef broth"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""paprika"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""granulated white sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""AP flour"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""unsalted butter"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""cold, cut into 8 parts""}, {""name"": ""baking powder"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""granulated white sugar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""ice cold water"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": ""for frying""}]","[""Make the filing by heating 2 tablespoons of cooking oil in a pan."", ""Saute the onion and then add the ground black pepper."", ""Put-in the beef and then cook for 5 minutes."", ""Add the raisins, paprika, sugar, and salt. Stir and then pour-in the beef broth."", ""Cover and then simmer for 10 to 15 minutes."", ""Remove the cover and let the liquid evaporate."", ""Add the green peas.Stir and then cook for 2 minutes."", ""Turn-off the heat. Set aside."", ""Prepare the dough by placing the salt, AP flour, baking powder, and sugar in a mixing bowl. Use a wire whisk to mix the ingredients."", ""Put the butter pieces in the mixing bowl along with the cold water. Mix using a pastry blender. If you don\u2019t have one, use 2 kitchen knives instead. You should mix like you are cutting the dough in several pieces."", ""Grab about 3 tablespoons of the mixture and then shape it into a ball. do this until all the dough is consumed."", ""Refrigerate the dough balls for about 20 to 25 minutes."", ""Flatten the dough ball by gently pressing the center with your hand against a clean flour-dusted flat surface. Use a rolling pin to spread the dough and make a flat circle about 4 to 5 inches in diameter."", ""Arrange about 4 to 5 tablespoons of filling in the middle of the dough. Lock the edges by folding or by pressing the tip of a fork in both sides."", ""Meanwhile, heat about 2 to 3 cups of oil in a cooking pot. Deep fry the empanadas for about 3 to 5 minutes or until the color turns golden brown."", ""Remove from the cooking pot and then arrange in a plate lined with paper towels. Let the excess oil drip-off."", ""Transfer to a serving plate."", ""Serve. Share and enjoy!""]"
Japanese Curry,5 minutes,NA,5,https://panlasangpinoy.com/wp-content/uploads/2023/08/easy-beef-curry-750x750.jpg,"[{""name"": ""beef"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""thinly sliced""}, {""name"": ""Knorr beef cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""potatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""curry powder"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""tomato ketchup"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Worcestershire sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""honey"", ""amount"": ""3"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""yellow onions"", ""amount"": ""2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""sliced""}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""coffee"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""grated cheddar cheese"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Season beef with salt and pepper. Set aside."", ""Heat oil in a cooking pot. Add the butter and let it melt."", ""Put the beef slices and stir-fry until it turns light brown in color."", ""Add onion and garlic. Saut\u00e9 for 1 minute."", ""Add the carrot and cook it for 2 minutes while stirring occasionally."", ""Pour the water into the cooking pot. Let it boil."", ""Add the Knorr Beef Cube, Curry Powder, Ketchup. Worcestershire sauce, and honey. Cover and Simmer for 15 minutes."", ""Add the potato and continue to simmer for 12 minutes."", ""Combine cornstarch with 3 tablespoons of water. Stir and pour into the pot. Stir."", ""Add cheese and coffee."", ""Season with salt and ground black pepper as needed.""]"
Creamy Beef with Mushroom,5 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/05/creamy-beef-with-mushroom-recipe-750x750.jpg,"[{""name"": ""beef sirloin"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""sliced thinly""}, {""name"": ""button mushrooms"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Knorr Cream of Mushroom Soup"", ""amount"": ""62"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""chopped""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Melt butter in a pan. Add cooking oil."", ""Saut\u00e9 garlic until it browns. Add onion and cook until it softens."", ""Add the beef. Cook while stirring until the sides turn brown."", ""Pour 1 cup water. Cover the pan. Adjust to a simmer and continue cooking for 35 minutes."", ""Add button mushrooms. Stir."", ""Combine 1 cup water and Knorr Cream of Mushroom in a bowl. Mix well."", ""Pour the mixture into the pan. Let it boil. Continue cooking uncovered for 10 to 15 minutes using low heat setting."", ""Season with salt and ground black pepper."", ""Top with parsley. Serve warm with rice."", ""Share and enjoy!""]"
Better Beef Nilaga,15 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/04/beef-nilaga-recipe-panlasang-pinoy-750x750.jpg,"[{""name"": ""beef neck bone"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr Beef Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""corn on the cob"", ""amount"": ""3"", ""unit"": """", ""notes"": ""cut in half""}, {""name"": ""potatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": ""quartered""}, {""name"": ""long green beans"", ""amount"": ""18"", ""unit"": """", ""notes"": """"}, {""name"": ""head cabbage"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""bok choy"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Grill the beef neck bones for 11/2 minutes per side. Remove from the grill and set it aside."", ""Meanwhile, heat cooking oil and saut\u00e9 the garlic and onion."", ""Once the onion softens, add the beef. Saut\u00e9 for 2 minutes."", ""Pour water into the pot. Let it boil. Cover and continue cooking using low heat setting until the meat gets tender. Note: add more water as needed."", ""Add Knorr Beef Cube and corn. Cover the pot. Cook for 8 minutes."", ""Add potatoes. Cook for 6 minutes."", ""Add the long green beans, cabbage, and bok choy. Continue cooking for 3 minutes."", ""Season with fish sauce and ground black pepper."", ""Transfer to a serving bowl. Serve hot. Share and enjoy!""]"
Kare Kare Buntot ng Baka,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/04/ox-tail-kare-kare-750x750.jpg,"[{""name"": ""Ox tail"", ""amount"": ""4"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr Beef Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""peanut paste"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""annatto powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""Ground black pepper and fish sauce to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Chinese eggplant"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""banana blossoms"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""bok choy"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""string beans"", ""amount"": ""15"", ""unit"": """", ""notes"": ""cut into 2-inch pieces""}]","[""Boil water. Add the vegetable ingredients. Cook this for 2 minutes. Remove and soak it in a bowl with cold water for 3 minutes. Drain the water and dry the vegetables. Set it aside."", ""Heat cooking oil in a pot. Saute the garlic and onion."", ""Add the Ox tail once the onion softens. Saute it until the color turns light brown."", ""Pour the water that was used to cook the vegetables into the cooking pot. Cover and bring it into a simmer. Continue cooking until the ox tail tenderizes."", ""Add Knorr Beef Cube, peanut paste, and annatto powder. Cook for 10 minutes."", ""Season with fish sauce and ground black pepper."", ""Transfer to a serving bowl. Top with blanched vegetables. Serve with shrimp paste (bagoong alamang)."", ""Share and enjoy!""]"
Balbacua,10 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2023/05/how-to-cook-balbacua-or-balbakwa-750x750.jpg,"[{""name"": ""cow trotters"", ""amount"": ""5"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr Beef Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""lemongrass"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""(white part) cut in 4-inch pieces""}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""salted black beans"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""cut in 2-inch pieces""}, {""name"": ""Jalapeno pepper"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""tomato sauce"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""10"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""annatto powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""knobs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": ""crushed""}, {""name"": ""Fish sauce to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a pan. Saut\u00e9 garlic, onion, and ginger until the onion softens. Set aside."", ""Combine trotters, 10 cups water, ground black pepper, and lemongrass in a cooking pot. Let it boil. Adjust the stove to the lowest heat setting and then simmer for 3 hours or until the meat and fibers on the trotters soften."", ""Remove the lemongrass. Add the annatto powder, sauteed aromatics (onion, garlic, and ginger), salted black beans, and Knorr Beef Cube. Continue cooking for 30 minutes."", ""Add jalapeno, bell pepper, and green onions. Cook for 10 minutes.""]"
No Bake Macaroni,10 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/01/no-bake-macaroni-jpg-webp-750x750.webp,"[{""name"": ""CDO Home Style Corned Beef in Pasta Sauce"", ""amount"": ""520"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""elbow macaroni"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""chopped""}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook the macaroni based on package instructions. Drain the water and set the macaroni aside."", ""Heat oil in a wide cooking pot. Saut\u00e9 onion and garlic until the onion softens."", ""Add CDO Home Style Corned Beef in Pasta Sauce. Continue cooking for 3 to 5 minutes while stirring occasionally. Season with salt and ground black pepper as needed."", ""Put the cooked macaroni into the pot. Toss and cook for 2 minutes."", ""Transfer to a serving plate. Top with grated cheese and garnish with chopped parsley."", ""Serve hot. Share and enjoy!""]"
Loco Moco,5 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/Hawaiian-loco-moco-jpg-webp-750x750.webp,"[{""name"": ""patties CDO Ulam Burger"", ""amount"": ""6"", ""unit"": """", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""chopped parsley"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""button mushroom"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""beef broth"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Worcestershire sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat the oil in a pan. Fry the burger patties until both sides are completely cooked. Set aside."", ""Fry the eggs. Set aside."", ""Make the sauce by heating 2 tablespoons of cooking oil in a saucepan. Saute onion and mushrooms for 2 minutes."", ""Pour the beef broth into the pan and season with soy sauce and Worcestershire sauce. Let boil. Cook for 3 minutes in low heat setting."", ""Season with salt and ground black pepper."", ""Make a slurry by combining 2 tablespoons cornstarch with 3 tablespoons water. Stir until well blended."", ""Pour the slurry into the saucepan. Stir until the sauce thickens."", ""Arrange the CDO Ulam Burger Patties on a plate over rice. Top with sauce. Add fried egg. Garnish with chopped parsley."", ""Share. Serve and enjoy!""]"
Loaded Nachos,5 minutes,15 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/01/corned-beef-nachos-filipino-recipe-jpg-webp-750x750.webp,"[{""name"": ""CDO Home Style Corned Beef in Pasta Sauce"", ""amount"": ""260"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""tortilla chips"", ""amount"": ""16"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""taco seasoning"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cheese dip"", ""amount"": ""120"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""black olives"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""pitted and sliced""}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": """", ""notes"": ""seeds removed and diced""}, {""name"": ""cheddar cheese"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""shredded""}]","[""Make the meat sauce by heating the cooking in a pan. Saut\u00e9 onion until it softens. Add CDO Home Style Corned Beef in Pasta Sauce. Cook for 2 minutes. Add taco seasoning. Stir and cook for 2 to 3 minutes. Let it cool down."", ""Arrange tortilla chips on a wide plate. Drizzle cheese dip all over and top with meat sauce."", ""Spread the remaining topping ingredients over the meat sauce."", ""Serve. Share and enjoy!""]"
