Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Kung Pao Chicken,5 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/05/Kung-Pao-Chicken-with-Rice-750x750.jpg,"[{""name"": ""boneless chicken thigh"", ""amount"": ""1 \u00bd"", ""unit"": ""lbs"", ""notes"": ""diced""}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Shaoxing cooking wine"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""A pinch of salt"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""dried chilies"", ""amount"": ""8"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""green onions"", ""amount"": ""5"", ""unit"": ""stems"", ""notes"": ""chopped""}, {""name"": ""zucchini"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""roasted peanuts"", ""amount"": ""1/2"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""dark soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""rice vinegar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""honey"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Shaoxing cooking wine"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""chicken stock"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}]","[""Combine chicken, 1 tablespoon soy sauce,1 tablespoon Shaoxing rice wine, 2 teaspoons cornstarch, and a pinch of salt in a bowl. Mix well. Set aside."", ""Combine all the kung pao sauce ingredients in a separate bowl. Mix well. Set aside."", ""Start to stir fry by heating 3 tablespoons of cooking oil in a wok. Add the dried chilies. Stir fry for 5 seconds."", ""Add the marinated chicken. Stir fry for 2 minutes."", ""Add the garlic, white part of the green onion, and ginger. Continue to stir fry for 20 seconds before adding the bell pepper, zucchini, and peanuts, and remaining green onions. Stir fry for 45 seconds to 1 minute."", ""Pour the sauce into the wok. Stir fry until the chicken is coated evenly. Note: you can add around 1 to 3 tablespoons of water (as needed) while stir frying to prevent the sauce from clumping."", ""Transfer to a serving plate. Serve with rice."", ""Share and enjoy!""]"
Garlic Fried Chicken Wings,30 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/04/Garlic-chicken-wing-drumette-750x750.jpg,"[{""name"": ""chicken wings"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""paprika"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": ""crushed""}, {""name"": ""ground white pepper"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00be"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""mayonnaise"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sour cream"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""dill"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""chopped""}, {""name"": ""parsley"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": ""chopped""}, {""name"": ""garlic powder"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""kosher salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": ""adjust to taste""}, {""name"": ""freshly ground black pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""lime"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}]","[""Combine the chicken with all the marinade ingredients. Mix well. Refrigerate for at least 1 hour."", ""Meanwhile, make the white sauce by combining all the sauce ingredients in a bowl. Stir to mix everything together. Set aside."", ""Add beaten egg. Distribute it all over the chicken pieces."", ""Gradually add the cornstarch and all-purpose flour. Continue mixing until all the ingredients are well incorporated. Set aside."", ""Heat 2 cups of cooking oil in a wok."", ""Once the temperature reaches 350F, add the chicken wings one piece at a time. Adjust the heat to medium setting. Continue frying for 8 to 10 minutes or until the chicken turns golden brown. Remove from the wok and let the chicken cool down for 10 to 12 minutes."", ""Put the fried chicken wings back into the wok and continue frying for 1 minute."", ""Transfer to a serving plate. Serve with white sauce on the side."", ""Share and enjoy!""]"
Calderetang Manok,10 minutes,50 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2024/04/how-to-cook-caldereta-750x750.jpg,"[{""name"": ""chicken"", ""amount"": ""3"", ""unit"": ""lbs"", ""notes"": ""cut into serving pieces""}, {""name"": ""bell peppers"", ""amount"": ""2"", ""unit"": """", ""notes"": ""(see notes)""}, {""name"": ""potato"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""tomato sauce"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": ""(see notes)""}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""cheese"", ""amount"": ""1"", ""unit"": ""ounce"", ""notes"": ""(see notes)""}, {""name"": ""cooking oil"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lime"", ""amount"": ""1"", ""unit"": """", ""notes"": ""(see notes)""}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Marinate chicken in soy sauce, 1 \u00bd teaspoons garlic powder, \u00bd teaspoon ground black pepper, 1 lime for at least 1 hour."", ""Fry the potatoes and carrots. Set aside."", ""Using around 3 tablespoons of cooking oil, saut\u00e9 the onion and 4 cloves of minced garlic."", ""Add the marinated chicken once the onion softens. Saut\u00e9 the chicken until it turns medium brown in color."", ""Pour the tomato sauce and water into the cooking pot.  Cover and let it boil and then adjust the heat to a simmer. Continue cooking for 40 minutes."", ""Add the liver spread. Stir and add the bell peppers, potato, and carrots."", ""Season with fish sauce and ground black pepper."", ""Add the grated cheese."", ""Serve warm with rice. Share and enjoy!""]"
Chicken Gizzard Ginataan,10 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/04/ginataang-balun-balunan-ng-manok-750x750.jpg,"[{""name"": ""chicken gizzard"", ""amount"": ""3"", ""unit"": ""lbs"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""kangkong leaves"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""ginger"", ""amount"": ""2"", ""unit"": ""thumbs"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""bay leaves"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""quart"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Pour the water in a cooking pot. Let it boil."", ""Add dried bay leaves and chicken gizzards. Reduce the heat to medium setting. Boil until the gizzard becomes tender (around 35 to 45 minutes). Remove the gizzards from the pot and set it aside."", ""Heat the oil in a wok. Saut\u00e9 the garlic, ginger, and onion."", ""Add the boiled gizzards once the onion softens. Saut\u00e9 for 2 minutes."", ""Pour-in the coconut milk. Let it boil. Simmer until it reduces to half."", ""Add the bell pepper. Cook for 2 minutes."", ""Add the kangkong leaves. Season with fish sauce and ground black pepper."", ""Transfer to a serving plate. Serve with rice. Share and enjoy!""]"
Chicken Adobo,5 minutes,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2018/11/Filipino-Chicken-Adobo-Recipe-728x750.jpg,"[{""name"": ""chicken"", ""amount"": ""2"", ""unit"": ""lbs"", ""notes"": ""(note 1)""}, {""name"": ""dried bay leaves"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""(note 2)""}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""(note 3)""}, {""name"": ""white vinegar"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": ""(note 4)""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""(note 5)""}, {""name"": ""water"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""(note 6)""}, {""name"": ""salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": ""(note 7)""}, {""name"": ""whole peppercorn"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""(note 8)""}]","[""Combine chicken, soy sauce, and garlic in a large bowl. Mix well. Marinate the chicken for at least 1 hour. Note: the longer the time, the better"", ""Heat a cooking pot. Pour cooking oil."", ""When the oil is hot enough, pan-fry the marinated chicken for 2 minutes per side."", ""Pour-in the remaining marinade, including garlic. Add water. Bring to a boil"", ""Add dried bay leaves and whole peppercorn. Simmer for 30 minutes or until the chicken gets tender"", ""Add vinegar. Stir and cook for 10 minutes."", ""Put-in the sugar, and salt. Stir and turn the heat off.Serve hot. Share and Enjoy!""]"
Pancit Canton Noodles,10 minutes,35 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2024/02/seafood-noodles-with-egg-750x750.jpg,"[{""name"": ""Pancit canton"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Knorr crab and Corn soup"", ""amount"": ""37"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""shrimp"", ""amount"": ""10"", ""unit"": ""pieces"", ""notes"": ""cleaned""}, {""name"": ""quail eggs"", ""amount"": ""12"", ""unit"": ""pieces"", ""notes"": ""boiled""}, {""name"": ""chicken thigh"", ""amount"": ""\u00bc"", ""unit"": ""lb."", ""notes"": ""sliced""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""thinly sliced crosswise""}, {""name"": ""baby bok choy"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""halved""}, {""name"": ""green onion"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}]","[""Start to blanch the vegetables and shrimp by boiling the water in a cooking pot. Put the carrot first, quickly boil for 1-minute. Remove the carrot from the cooking pot and transfer to a bowl with ice cold water. Soak it for 2 minutes and then remove from the bowl and place in a clean plate. Do the same step with the bok choy and shrimp. Set aside."", ""Fry the pancit canton noodles. Start by heating 2 cups of oil in a wok. Add the pancit canton. Deep fry while gently tossing until it becomes crispy (around 30 to 45 seconds). Remove from the cooking pot. Let the oil drip before arranging it on a serving plate."", ""Make the sauce by saut\u00e9ing garlic and the white part of the green onion. Add the chicken thigh. Cook for 2 minutes. Add the shrimp and carrot. Stir-fry for 30 seconds."", ""Combine Knorr Crab and Corn Soup with 500 ml. water. Mix well. Pour the mixture into the cooking pot. Stir and continue cooking until the sauce thickens."", ""Add the quail eggs, oyster sauce, and sesame oil. Season with ground white pepper."", ""Arrange the bok choy around the plate and then pour the sauce over the crispy noodles. Serve warm. Share and enjoy!""]"
Fried Chicken with Mushroom Gravy,10 minutes,20 minutes,NA,https://panlasangpinoy.com/wp-content/uploads/2024/01/crispy-fried-chicken-recipe-750x750.jpg,"[{""name"": ""chicken"", ""amount"": ""2"", ""unit"": ""lbs"", ""notes"": ""cut into serving pieces, see note 1""}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""24"", ""unit"": ""ml"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""beaten""}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""baking powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""Knorr Cream of Mushroom"", ""amount"": ""55"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""see note 2""}, {""name"": ""all-purpose flour"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}]","[""Coat the chicken all over with Knorr Liquid Seasoning. Let it stay for 10 minutes."", ""Meanwhile, make the mushroom gravy. Melt butter in a pot. Add all-purpose flour. Stir while cooking until lumps form and the mixture turns medium brown in color."", ""Combine Knorr Cream of Mushroom with 1 \u00bd cups of water. Mix well and pour into the pot. Stir and let this simmer for a few minutes. Continue stirring until the consistency of the mixture smoothens. Set this aside while keeping it warm."", ""Heat the oil in a deep pan."", ""Combine all the breading ingredients in a bowl and mix it well."", ""Dredge the chicken into the breading, dip in beaten egg, and roll it back into the breading making sure that the entire piece is well coated."", ""Start frying the chicken until both sides are brown and crisp (and the internal temperature reads at least 165F)."", ""Arrange on a serving plate. Serve with mushroom gravy. Share and enjoy!""]"
Chicken Ala King,10 minutes,30 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2023/10/chicken-ala-king-recipe-750x750.jpg,"[{""name"": ""Knorr Cream of chicken and corn"", ""amount"": ""60"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""unsalted butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""chicken breast"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Panko breadcrumbs"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}]","[""Prepare the chicken katsu. Flatten the chicken breast by slightly pounding with the flat part of the meat tenderizer tool. Season salt, ground black pepper, and garlic powder all over the chicken."", ""Heat oil in a pan."", ""While the oil is heating up, bread the chicken. Dredge it in all-purpose flour. Dip in the beaten egg mixture, dredge in flour again and then dip one more time in beaten egg. Now, roll it over the Panko breadcrumbs making sure that it gets completely coated."", ""Deep fry the chicken katsu until the color of the breading turns golden brown. Note: if the oil is not enough, you can turn the chicken over to fully cook the opposite side."", ""Remove the chicken from the pan and arrange in a serving plate. Set aside."", ""Make the easy chicken ala king sauce by melting the butter in a saucepan. Add the cooking oil."", ""Once the butter mixture gets hot, add the bell peppers. Saute for 1 \u00bd minutes."", ""Combine Knorr Cream of Chicken and Corn and water. Stir until well blended. Pour the mixture into the saucepan. Continue cooking while stirring until the sauce thickens to your desired consistency."", ""Pour the sauce over the chicken katsu. Serve with rice and Knorr Cream of mushroom soup on the side."", ""Share and enjoy!""]"
Fried Chicken,20 minutes,15 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2022/01/easy-crispy-fried-chicken-recipe-jpg-750x750.webp,"[{""name"": ""chicken"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": ""cut into individual pieces""}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""evaporated milk"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr Chicken Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""baking powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Rub salt all over the chicken. Let it stay for 15 minutes."", ""Heat the oil in a cooking pot."", ""Prepare the batter. Start by pressing a fork on the chicken cube until it is completely squashed. Combine it with warm milk. Stir until well blended. Set aside."", ""Combine flour, baking powder, garlic powder, salt, and ground black pepper. Mix well using a fork or a wire whisk. Set aside."", ""Beat the eggs in a large mixing bowl. Add the milk mixture. Continue to beat until all the ingredients are all incorporated. Add half of flour mixture. Whisk. Add the remaining half and whisk until the texture of the batter becomes smooth."", ""Dredge the chicken in flour and then dip in batter. Roll it again in flour until completely covered. Fry in medium heat for 7 minutes per side."", ""Remove from the pot and put in a plate lined with paper towel. This will absorb the oil."", ""Serve with ketchup or gravy."", ""Share and enjoy!""]"
Chili Ginger Chicken,15 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/09/chili-ginger-chicken-750x750.jpg,"[{""name"": ""boneless chicken breast"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""sliced into serving pieces""}, {""name"": ""all-purpose flour"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""Thai chili pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""long green beans"", ""amount"": ""6"", ""unit"": """", ""notes"": ""cut into 2-inch pieces""}, {""name"": ""green onion"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""thumbs ginger"", ""amount"": ""3"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Good Life Sesame Oil"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""honey"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sweet chili sauce"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""tomato ketchup"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Sprinkle salt and pepper on the sliced chicken. Toss until the seasonings are well distributed."", ""Bread the chicken. Start by combining flour and cornstarch in a bowl. Mix well. Dredge the chicken in the flour mixture and then dip it in the beaten egg. Dredge it again into the flour mixture. Arrange on a clean plate."", ""Combine all the sauce ingredients in a bowl. Mix until the texture smoothens. Set aside."", ""Heat the oil in a wok. Fry the breaded chicken until it turns golden brown. Set aside."", ""Heat 3 tablespoons of cooking oil in a clean wok. Saut\u00e9 ginger and garlic for 30 seconds."", ""Add green beans, chili pepper, and bell pepper. Saut\u00e9 for 1 minute."", ""Put the breaded chicken into the wok. Toss."", ""Pour the sauce. Stir and continue to cook until it thickens."", ""Transfer the chicken in a serving plate. Serve with rice."", ""Share and enjoy!""]"
