Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Air Fried Peach Mango Pie,10 minutes,25 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/08/air-fried-peach-mango-pie-750x750.jpg,"[{""name"": ""loaf bread"", ""amount"": ""12"", ""unit"": ""slices"", ""notes"": """"}, {""name"": ""Good Life breadcrumbs"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""mango"", ""amount"": ""15"", ""unit"": ""ounces"", ""notes"": ""diced""}, {""name"": ""peach"", ""amount"": ""15"", ""unit"": ""ounces"", ""notes"": ""diced""}, {""name"": ""granulated white sugar"", ""amount"": ""10"", ""unit"": ""tbsp"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""lemon juice"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""A pinch of salt"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""vanilla extract"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Make the filling by combining mangoes, peaches, sugar, vanilla extract, lemon juice, and salt in a bowl. Mix well."", ""Pour the mixture in a pan. Cook for 5 minutes."", ""Combine cornstarch and water to create a slurry. Mix well. Pour the mixture into the pan. Stir and continue cooking until the mixture thickens. Remove from the pan and let it cool down."", ""Lay each slice of loaf on a chopping board. Slice-out the dark edges. Dust flour on your rolling pin and then flatten each bread slices."", ""Scoop around 2 \u00bd tablespoons of filling mixture and put it on the center of the flattened bread. Make bread pockets by covering the filling. Do this by folding the bread symmetrically. Brush beaten egg on the sides and secure it by pressing the edges against each other. Do this step until all the filling are consumed."", ""Dredge the bread pockets in all-purpose flour. Dip in beaten egg. Roll it in Good Life Breadcrumbs. Spray cooking oil on both sides and then arrange in a clean plate. Let it stay for at least 5 minutes."", ""Air fry in 370F until the breadcrumbs turns golden brown. Flip the peach mango pie and do the same on the opposite side. Serve. Share and enjoy!""]"
Special Lunch Menu,20 minutes,45 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/04/inihaw-na-pusit-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""kg."", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Calamansi"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""8"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""large squid"", ""amount"": ""1"", ""unit"": ""kg."", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""thumb"", ""notes"": ""grated""}, {""name"": ""eggplants"", ""amount"": ""4"", ""unit"": """", ""notes"": ""grilled""}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""white vinegar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""fresh milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Selecta Vanilla Ice Cream"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Whipping cream"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Prepare the pork by combining the pork belly, Knorr Liquid Seasoning, and calamansi. Mix well. Marinate for at least 30 minutes."", ""Make the ensaladang talong by combining diced tomato and onion in a bowl. Mix well. Divide this into two equal parts. Put the other half into a separate bowl. Set it aside for now. This will be used for the ensalada later."", ""Meanwhile, work on the other bowl by adding Knorr Liquid seasoning and squeezing 2 pieces of calamansi. Mix well. This will be used as stuffing for the squid. Stuff the squid with the mixture and heat-up your grill."", ""Grill the eggplants until the inside part softens. Let it cool down and peel the skin off. Mash the eggplant and combine with the first bowl with tomato and onion. Combine white vinegar, ground black pepper, and sugar. Mix well. Pour thus into the bowl with eggplant. Toss until well blended. Top with bagoong alamang."", ""Grill the squid until it gets cooked completely. Remember to not overcook it as it can get tough. Remove from the grill and arrange on a serving plate."", ""Start grilling the pork belly. You can make the basting sauce by combining Knorr Liquid Seasoning, calamansi, banana ketchup, and 2 teaspoons of cooking oil. Continue grilling the pork and turn it over every few minutes while basting until it gets completely cooked. Slice into serving pieces and arrange on a clean plate."", ""Make the milk shake by scooping 4 cups of Selecta ice cream in a blener. Add milk. Blend for 30 seconds. Transfer to a tall glass. Top with whip cream."", ""Serve everything together with lots of rice on the side. Share and enjoy!""]"
Ginataang Mais at Malagkit Sweet Corn and Glutinous Rice in Coconut Milk,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2018/03/Gimataang-Mais-at-Malagkit-Recipe-728x750.jpg,"[{""name"": ""coconut cream"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""glutinous rice"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""malagkit""}, {""name"": ""sweet corn"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""granulated white sugar"", ""amount"": ""1/2 to 3/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""vanilla extract"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""a pinch of salt"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Pour coconut milk and coconut cream in a cooking pot. Let it boil."", ""Once it starts to boil, add glutinous rice. Stir continously for 10 minutes."", ""Add sugar. Stir."", ""Add sweetcorn into the pot. Stir and continue to cook in low heat for 8 minutes. Note you can cook this longer to make the corn and rice softer."", ""Add vanilla extract and salt. Stir."", ""Transfer to a serving bowl. Serve"", ""Share and enjoy!""]"
Cassava Cake Creamy and Cheesy,10 minutes,NA,8,https://panlasangpinoy.com/wp-content/uploads/2022/10/Easy-Cassava-Cake_-jpg-750x750.webp,"[{""name"": ""cassava"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""grated""}, {""name"": ""coconut cream"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""evaporated milk"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""melted""}, {""name"": ""quick-melt cheese"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""shredded""}, {""name"": ""condensed milk"", ""amount"": ""14"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""coconut cream"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""condensed milk"", ""amount"": ""7"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""quick-melt cheese"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""shredded""}, {""name"": ""butter"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""melted""}]","[""Preheat oven to 350F."", ""Combine the wet ingredients in a mixing bowl starting by cracking the eggs. Beat until smooth. Pour the evaporated milk, condensed milk, butter, and coconut milk. Whisk everything together until the mixture smoothens."", ""Add the grated cassava and \u00bd cup cheese in the bowl where the wet ingredients are at. Mix well."", ""Transfer the mixture into a greased baking pan. Bake for 1 hour."", ""Prepare the topping my mixing all the toping ingredients in a clean bowl. Mix everything together. Set aside."", ""Pour the topping mixture over the baked cassava. Put the baking pan back in the oven. Continue baking for 350F until the topping thickens. Note: You will notice that it will burn a bit, that is normal."", ""Remove the baking pan from the oven. Let the cassava cake cool down."", ""Slice the cake into serving pieces. Serve for dessert.""]"
Macaroni Salad for the Holidays,NA,NA,6,https://panlasangpinoy.com/wp-content/uploads/2021/12/Christmas-Macaroni-Salad-jpg-750x750.webp,"[{""name"": ""elbow macaroni"", ""amount"": ""500"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Lady\u2019s Choice real mayonnaise"", ""amount"": ""470"", ""unit"": ""ml"", ""notes"": """"}, {""name"": ""condensed milk"", ""amount"": ""300"", ""unit"": ""ml"", ""notes"": """"}, {""name"": ""all-purpose cream"", ""amount"": ""250"", ""unit"": ""ml"", ""notes"": """"}, {""name"": ""sharp cheddar cheese"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": ""diced""}, {""name"": ""nata de coco"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": ""red, drained""}, {""name"": ""nata de coco"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": ""green, drained""}, {""name"": ""kaong (sugar palm)"", ""amount"": ""350"", ""unit"": ""grams"", ""notes"": ""drained""}, {""name"": ""fruit cocktail"", ""amount"": ""850"", ""unit"": ""grams"", ""notes"": ""drained""}]","[""Cook macaroni based on package instructions. Set aside."", ""Combine all-purpose cream, condensed milk, and Lady\u2019s Choice Mayonnaise in a large mixing bowl. Mix well."", ""Add kaong, nata de coco, fruit cocktail, and cheese. Mix well."", ""Put the cooked macaroni into the bowl with the other ingredients. Toss until well blended."", ""Cover the bowl and refrigerate for at least 1 hour."", ""Serve chilled. Share and enjoy!""]"
Bibingka,10 minutes,35 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2010/03/How-to-Make-Rice-Cake-Bibingka-jpg-750x750.webp,"[{""name"": ""rice flour"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""baking powder"", ""amount"": ""2 1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""granulated sugar"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""fresh milk"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salted duck egg"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced""}, {""name"": ""grated cheese"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""raw eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""grated coconut"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Pre-cut banana leaf"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Preheat oven to 375 degrees Fahrenheit."", ""Combine rice flour, baking powder, and salt then mix well. Set aside."", ""Cream butter then gradually put-in sugar while whisking."", ""Add the eggs then whisk until every ingredient is well incorporated."", ""Gradually add the rice flour, salt, and baking powder mixture then continue mixing."", ""Pour-in coconut milk and fresh milk then whisk some more for 1 to 2 minutes."", ""Arrange the pre-cut banana leaf on a cake pan or baking pan."", ""Pour the mixture on the pan."", ""Bake for 15 minutes."", ""Remove from the oven then top with sliced salted egg and grated cheese (do not turn the oven off)."", ""Put back in the oven and bake for 15 to 20 minutes or until the color of the top turn medium brown."", ""Remove from the oven and let cool."", ""Brush with butter and top with grated coconut."", ""Serve. Share and enjoy!""]"
Banana Bread,5 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2009/10/Banana-Bread-1-750x750.jpg,"[{""name"": ""banana"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": "",large and ripe""}, {""name"": ""granulated white sugar"", ""amount"": ""10"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""all purpose flour"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""vanilla extract"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""baking soda"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Preheat oven at 350 degrees Fahrenheit."", ""Combine all the dry ingredients starting with the flour, sugar, salt, and baking soda. Set aside."", ""Mash bananas using a fork or a potato masher."", ""Add eggs, cooking oil, and vanilla extract. Mix well."", ""Gradually add the dry ingredients. Mix until everything is evenly distributed."", ""Grease the loaf pan with a cooking oil spray  (Note: you may also wet a paper towel with regular cooking oil or melted butter and spread it in the loaf pan). Pour mixture into the pan."", ""Bake for 1 hour (Note: check the bread as early as 40 minutes during the baking to prevent overcooking. Use the toothpick test)."", ""Remove from loaf pan from the oven. Let it cool down. Slice the bread and arrange on a serving plate (Note: You may put the bread in the fridge to cool or serve immediately.)."", ""Share and Enjoy!""]"
Biko,10 minutes,40 minutes,8,https://panlasangpinoy.com/wp-content/uploads/2009/10/biko-recipe-jpg-728x750.webp,"[{""name"": ""glutinous rice"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": ""aka sticky rice or malagkit""}, {""name"": ""water"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1/2"", ""unit"": ""tsp"", ""notes"": """"}]","[""Combine the sticky rice and water in a rice cooker and cook until the rice is ready (we intentionally combined lesser amount of water than the usual so that the rice will not be fully cooked)"", ""While the rice is cooking, combine the coconut milk with brown sugar and salt in a separate pot and cook in low heat until the texture becomes thick. Stir constantly."", ""Once the rice is cooked and the coconut milk-sugar mixture is thick enough, add the cooked rice in the coconut milk and sugar mixture then mix well. Continue cooking until all the liquid evaporates (but do not overcook)."", ""Scoop the cooked biko and place it in a serving plate then flatten the surface."", ""Share and Enjoy!""]"
Ube Halaya with Cheese,5 minutes,45 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2017/12/Ube-Halaya-with-Cheese-750x735.jpg,"[{""name"": ""grated purple yam"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""14 oz. can condensed milk"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""ube flavoring"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""shredded cheddar cheese"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}]","[""Pour coconut milk in a cooking pot. Let boil."", ""Stir and add the condensed milk."", ""Once the mixture starts to boil, add the grated purple yam and ube flavoring. Continue to cook in medium heat while continuously stirring for 30 minutes."", ""Add butter. Stir. Cook until the mixture reaches your desired thickness. (I usually cook it for 10 to 12 minutes after adding butter)."", ""Transfer to a container. Top with shredded cheese."", ""Serve. Share and enjoy!""]"
Leche Flan,10 minutes,45 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2009/07/Leche-Flan_-jpg.webp,"[{""name"": ""eggs"", ""amount"": ""10"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""condensed milk"", ""amount"": ""1"", ""unit"": ""can"", ""notes"": ""(14 oz)""}, {""name"": ""fresh milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""or evaporated milk""}, {""name"": ""granulated sugar"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""vanilla extract"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Using all the eggs, separate the yolk from the egg white (only egg yolks will be used)."", ""Place the egg yolks in a big bowl then beat them using a fork or an egg beater"", ""Add the condensed milk and mix thoroughly"", ""Pour-in the fresh milk and Vanilla. Mix well"", ""Put the mold (llanera) on top of the stove and heat using low fire"", ""Put-in the granulated sugar on the mold and mix thoroughly until the solid sugar turns into liquid (caramel) having a light brown color. Note: Sometimes it is hard to find a Llanera (Traditional flan mold) depending on your location. I find it more convenient to use individual Round Pans in making leche flan."", ""Spread the caramel (liquid sugar) evenly on the flat side of the mold"", ""Wait for 5 minutes then pour the egg yolk and milk mixture on the mold"", ""Cover the top of the mold using an Aluminum foil"", ""Steam the mold with egg and milk mixture for 30 to 35 minutes."", ""After steaming, let the temperature cool down then refrigerate"", ""Serve for dessert. Share and Enjoy!""]"
