Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Egg Fried Rice,5 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/04/egg-fried-rice-jpg-750x750.webp,"[{""name"": ""eggs"", ""amount"": ""4"", ""unit"": """", ""notes"": ""see note 1""}, {""name"": ""leftover rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": ""see note 2""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""bell pepper"", ""amount"": ""1/2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""sweet peppers"", ""amount"": ""3"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": ""see note 3""}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Crack the eggs and place in a bowl."", ""Heat oil in a wok. Once the oil gets hot, pour the eggs into the wok. Cook until the bottom part turns brown and somewhat crispy. Turn the eggs over and do the same to the other side."", ""Add the peppers and onion. Saut\u00e9 the ingredients for 1 minute while breaking the eggs apart."", ""Add half of the leftover rice. Stir fry for 2 minutes."", ""Add the remaining rice. Continue cooking until all the ingredients are well blended."", ""Pour the sesame oil and soy sauce. Continue stir frying for 2 minutes."", ""Season with salt and sugar and add the green onions. Toss until well blended."", ""Transfer to a serving plate. Serve with your favorite main dish."", ""Share and enjoy!""]"
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-750x750.jpg,"[{""name"": ""eggs"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""green onions"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooked rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""strips bacon"", ""amount"": ""8"", ""unit"": """", ""notes"": ""cut into small pieces""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use."", ""Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown."", ""Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes."", ""Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside."", ""Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside."", ""Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan."", ""Add the butter. Let it melt. Cook the tomato for 1 minute."", ""Add green onions and put the sauteed onion back into the pan while distributing it evenly."", ""Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese."", ""Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast."", ""Share and enjoy!""]"
Loco Moco,5 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/Hawaiian-loco-moco-jpg-webp-750x750.webp,"[{""name"": ""patties CDO Ulam Burger"", ""amount"": ""6"", ""unit"": """", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""chopped parsley"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""button mushroom"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""beef broth"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Worcestershire sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat the oil in a pan. Fry the burger patties until both sides are completely cooked. Set aside."", ""Fry the eggs. Set aside."", ""Make the sauce by heating 2 tablespoons of cooking oil in a saucepan. Saute onion and mushrooms for 2 minutes."", ""Pour the beef broth into the pan and season with soy sauce and Worcestershire sauce. Let boil. Cook for 3 minutes in low heat setting."", ""Season with salt and ground black pepper."", ""Make a slurry by combining 2 tablespoons cornstarch with 3 tablespoons water. Stir until well blended."", ""Pour the slurry into the saucepan. Stir until the sauce thickens."", ""Arrange the CDO Ulam Burger Patties on a plate over rice. Top with sauce. Add fried egg. Garnish with chopped parsley."", ""Share. Serve and enjoy!""]"
Air Fryer Longganisa Frittata,5 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/longganisa-frittata-jpg-webp-750x750.webp,"[{""name"": ""CDO Skinless Longganisa"", ""amount"": ""6"", ""unit"": """", ""notes"": ""cooked""}, {""name"": ""eggs"", ""amount"": ""6"", ""unit"": """", ""notes"": """"}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""frozen green peas"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Slice the longganisa in half. Set aside."", ""Beat the eggs in a large bowl. Season with salt."", ""Add bell pepper, green peas, and cheddar cheese. Mix well."", ""Scoop a portion of the egg mixture into a silicon air fryer cup. Top with two slices of longganisa."", ""Air fry in 190C for 15 minutes or until the eggs gets cooked completely."", ""Remove the frittata from the silicon cups and arrange it on a serving plate."", ""Serve. Share and enjoy!""]"
Tortilla Espanola,5 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2010/08/Tortilla-Espanola-1-jpg-750x750.webp,"[{""name"": ""potato"", ""amount"": ""5"", ""unit"": ""pieces"", ""notes"": ""peeled and sliced""}, {""name"": ""yellow onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""eggs"", ""amount"": ""6"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""olive oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1 1/2"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Mix potatoes and onion in a large bowl."", ""Add 1 tablespoon salt then mix thoroughly until well distributed. Set aside."", ""Heat a cooking pot and pour-in olive oil."", ""When the oil is hot enough, fry the potatoes and onion using medium heat. This should take between 7 to 10 minutes. Do not brown the potatoes."", ""Remove the potatoes from the cooking pot, turn off heat, and then drain excess oil. Let the fried potatoes cool for a few minutes."", ""Combine the remaining salt with the eggs then beat."", ""Add the cooked potato in the beaten egg mixture then stir to distribute."", ""Heat an 8 to 10 inches non-stick pan and pour-in about 2 to 3 tablespoons of olive oil. You may utilize the olive oil used to fry the potatoes."", ""When the oil is hot enough, pour-in the eggs and potato mixture. Cook for about 5 to 7 minutes in low to medium heat. Cooking time may vary, it is recommended to manually check the omelet to prevent burns."", ""Flip the omelet by placing a wide plate on top of the pan and turn the pan over in a way that the plate catches the omelet."", ""Place the pan back on the stove and gently push the omelet from the plate to the pan. Cook until the other side is done.""]"
Corned Beef Omelet,5 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2014/12/tortang-corned-beef-omelet.jpg,"[{""name"": ""corned beef"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""Cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Prepare the corned beef by saut\u00e9ing. Heat oil in a pan and then saute garlic and onion. Add corned beef. Continue to saute for 3 to 5 minutes. Remove from the pan and let it cool down."", ""Crack the eggs and place in a large mixing bowl. Add the salt and pepper.. Beat until all the ingredients are well incorporated."", ""Add saut\u00e9ed Corned beef and green onions. Stir to mix the ingredients. Note: Make sure that the corned beef has cooled down before you execute this step."", ""Heat a frying pan. Add 1 tablespoon cooking oil or use a cooking oil spray and spray oil on the pan."", ""Scoop around \u00bd to \u00be cups of the corned beef and egg mixture and pour in the pan. Cook for 3 minutes on medium heat."", ""Use a spatula to flip the omelet and cook the other side for 2 to 3 minutes."", ""Transfer to a serving plate. Serve."", ""Share and enjoy!""]"
Chicken and Egg Macaroni Salad,5 minutes,12 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2019/11/chicken-and-egg-macaroni-salad.jpg,"[{""name"": ""boneless chicken breast"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""elbow macaroni"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""raisins"", ""amount"": ""3/4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""5"", ""unit"": ""ounces"", ""notes"": ""cubed""}, {""name"": ""pineapple chunks"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""optional""}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""boiled and cubed""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""parsley"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""sugar"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Combine 5 cups water and chicken in a cooking pot. Let the liquid boil. Continue to cook the chicken for 15 to 18 minutes using medium heat. Remove the chicken from the pot. Let it cool down and then slice into cubes. Set aside."", ""Cook macaroni according to package instructions using the remaining water. Drain water and place macaroni on a large bowl."", ""Make the salad dressing by combining Lady\u2019s Choice Mayonnaise, onion, sugar, salt, and ground black pepper. Stir until well blended. Set aside."", ""Combine cooked macaroni, cheese, raisins, pineapple, and chicken. Toss."", ""Add eggs and salad dressing. Continue to toss until all ingredients are well distributed."", ""Sprinkle the chopped parsley. Toss. Refrigerate the salad for at least 1 hour."", ""Transfer to a serving bowl. Serve. Share and enjoy!""]"
Sipo Eggs,12 minutes,25 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2014/09/Sipo-Egg-Recipe.jpg,"[{""name"": ""shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""head and shell removed and deveiened""}, {""name"": ""quail eggs"", ""amount"": ""20"", ""unit"": ""pieces"", ""notes"": ""boiled and peeled""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""minced garlic"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""cubed""}, {""name"": ""water"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""ham"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": ""minced (optional)""}, {""name"": ""cream of mushroom"", ""amount"": ""1"", ""unit"": ""can"", ""notes"": ""10 oz.""}, {""name"": ""singkamas"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""cubed""}, {""name"": ""heavy whipping cream"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Melt the butter in a cooking pan."", ""Add the cooking oil."", ""Once the mixture becomes hot, saute the shrimp for a minute per side."", ""Remove the shrimp and set aside."", ""Meanwhile, saute the onion and garlic."", ""Put-in the carrot and green peas. Add the ham (this is an optional ingredient).Cook for 3 minutes."", ""Pour-in the water (I used water with shrimp juice in the video).Let it boil. Cook for 1 minute."", ""Add the quail eggs and shrimp.Stir."", ""Pour-in the cream of mushroom and table cream. Stir once more until the ingredients are well distributed."", ""Add water chestnuts, salt and pepper."", ""Transfer to a serving bowl."", ""Serve. Share and enjoy!""]"
Filipino Omelet,5 minutes,8 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2019/02/Filipino-Omelet-Recipe-728x750.jpg,"[{""name"": ""large eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""ground black pepper"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""sea salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Crack the eggs and then place in a medium bowl. Add the salt and pepper and then beat using a wire whisk or fork. Set aside."", ""Heat the cooking oil in a pan."", ""Saute the onion and tomatoes for 2 minutes."", ""Pour-in the beaten egg mixture. Spread the mixture by tilting the pan sideways. Continue to cook in medium heat for 3 to 4 minutes."", ""Flip the omelet with the aid of a wide spatula and then cook the other side for 3 minutes. Note: If you are having a hard time flipping the omelet, try to first place the egg on a wide plate (the cooked side should be facing down). Quickly flip the plate on top of the pan so that the omelet will slide to the pan with the uncooked side facing down."", ""Turn off the heat and then transfer the omelet to a serving plate. Enjoy with pandesal or garlic rice. Serve with banana ketchup."", ""Share and enjoy!""]"
Tortang Tuna with Spinach Omelet,5 minutes,10 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2018/08/Tortang-Tuna-with-Spinach.jpg,"[{""name"": ""eggs"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""5 ounce can chunk tuna in water, drained"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""fresh baby spinach"", ""amount"": ""1 \u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""medium yellow onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat 3 tablespoons of cooking oil in a pan"", ""Saute onion until soft"", ""Add tuna. Continue to cook for 2 minutes."", ""Put the spinach into the pan. Cook for 1 minute."", ""Season with salt and ground black pepper. Remove from the pan and let it cool down."", ""Crack the eggs and place in a large mixing bowl. Beat until yellow and white parts are well blended."", ""Add the saut\u00e9ed tuna and spinach to beaten eggs. Make sure that the temperature cools first. Mix well."", ""Heat remaining oil in an omelet pan or small frying pan"", ""Pour the egg and tuna mixture. Gently push the cooked portion of the omelet towards the center to be able to heat the uncooked mixture. Continue to cook between low to medium heat for 2 minutes or until completely cooked. Turn over the omelet to cook the opposite side."", ""Transfer to a serving plate. Serve."", ""Share and enjoy!""]"
