Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Burger Steak Sardinas,10 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/04/how-to-cook-burger-steak-750x750.jpg,"[{""name"": ""sardines in tomato sauce"", ""amount"": ""2"", ""unit"": ""cans"", ""notes"": """"}, {""name"": ""banana blossoms"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Arrange the minced banana blossom in a bowl. Add 1 tablespoon of salt. Rub it all over. Wash the salt off and drain the excess water."", ""Separate the sardines from the sauce. Combine the sardines and banana heart. Add 1 egg, \u00bd teaspoon garlic powder, 1 teaspoon onion powder, \u00bd teaspoon salt, and \u00bc teaspoon ground black pepper. Mix everything together while mashing the sardines in the process."", ""Gradually add all-purpose flour. Continue mixing until the mixture becomes firm."", ""Scoop around \u00bc cup of the mixture and shape it into patties. Set aside."", ""Make the gravy by melting the butter in a saucepan. Add all-purpose flour. Stir while cooking until lumps form and the mixture turns medium brown in color. Add the sauce from the canned sardines and half of the amount of milk while constantly stirring. Add more milk as needed until your desired consistency is achieved. Season with onion powder, salt, and ground black pepper. Set aside."", ""Meanwhile, heat 2 tablespoons of cooking oil in a clean pan. Fry the burger patties in medium heat until it browns. Do the same thing on the opposite side."", ""Arrange the sardines burger steak on a plate and then top with the gravy."", ""Serve this with rice. Share and enjoy!""]"
Fish in Coconut Milk with Pineapple,10 minutes,45 minutes,2,https://panlasangpinoy.com/wp-content/uploads/2023/09/fish-in-coconut-milk-with-pineapple-750x750.jpg,"[{""name"": ""whole fish"", ""amount"": ""1"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""Knorr Ginataang Gulay Mix"", ""amount"": ""40"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""ginger"", ""amount"": ""3"", ""unit"": ""thumbs"", ""notes"": """"}, {""name"": ""pineapple chunks"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""bell peppers"", ""amount"": ""3"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""baby bok choy"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""for rubbing on the fish""}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}]","[""Rub salt on the fish. Let it stay for 10 minutes."", ""Pour 1 cup cooking oil in a pan and heat it. Once the oil temperature reaches 350F, fry the fish until it turns golden brown in color. Turn it over and do the same process on the other side. Remove the fish and put it over a wire rack or a plate lined with paper towel."", ""Meanwhile, scoop around 3 tablespoons of oil used to fry the fish and heat it on a clean pan. Saut\u00e9 the garlic until it starts to brown. Add the onion and ginger. Continue saut\u00e9ing until the onion softens."", ""Combine Knorr Ginataang Gulay Mix with 1 \u00bd cups water. Stir until well blended and then pour the mixture into the pan. Let it boil."", ""Reduce the heat to medium setting and then add the pineapple and fried fish. Cover pan and continue cooking for 3 minutes."", ""Remove the cover. Add the bell peppers and baby bok choy. Continue cooking for 3 minutes."", ""Season with fish sauce and ground black pepper."", ""Transfer to a serving bowl. Serve hot with rice."", ""Share and enjoy!""]"
Sinigang na Bangus,NA,NA,NA,https://panlasangpinoy.com/wp-content/uploads/2023/04/basic-sinigang-na-bangus-recipe-750x750.jpg,"[{""name"": ""bangus"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cleaned and sliced""}, {""name"": ""Knorr Sinigang sa Sampaloc with Miso"", ""amount"": ""23"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""okras"", ""amount"": ""8"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""long green peppers"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""string beans"", ""amount"": ""12"", ""unit"": """", ""notes"": ""cut in 2-inch length""}, {""name"": ""daikon radish"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""bunch mustard leaves"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""quartered""}, {""name"": ""onions"", ""amount"": ""2"", ""unit"": """", ""notes"": ""quartered""}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""quart"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""bangus"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cleaned and sliced""}, {""name"": ""Knorr Sinigang sa Sampaloc with Miso"", ""amount"": ""23"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""okras"", ""amount"": ""8"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""long green peppers"", ""amount"": ""2"", ""unit"": """", ""notes"": """"}, {""name"": ""string beans"", ""amount"": ""12"", ""unit"": """", ""notes"": ""cut in 2-inch length""}, {""name"": ""kangkong leaves"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""4"", ""unit"": """", ""notes"": ""quartered""}, {""name"": ""onions"", ""amount"": ""2"", ""unit"": """", ""notes"": ""quartered""}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""quart"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Make the regular sinigang by boiling 1 quart of water in a cooking pot. Add tomatoes and onions. Cook for 2 to 3 minutes. Add the bangus and Knorr Sinigang sa Sampaloc with Miso. Simmer it for 18 to 20 minutes. Add okra, daikon radish, long green pepper, and string beans. Continue cooking for 5 minutes. Season with fish sauce and ground black pepper. Add the mustard leaves and cook for 2 minutes. Serve hot."", ""Start making the fried bangus sinigang by rubbing salt all over the fish. Heat the oil in a pan. Fry both sides of the fish until it turns golden brown. Remove the fish and set it aside. Saute onion and tomato in the remaining oil. Add the fried bangus and pour water into the pot. Let it boil. Add Knorr Sinigang sa Sampaloc with Miso. Simmer for 10 minutes. Add okra, string beans, and long green peppers. Season with fish sauce and ground black pepper. Add the kangkong leaves. Continue cooking for 1 minute. Serve hot."", ""Share and enjoy!""]"
Fish Sinigang,10 minutes,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/03/Fish-Sinigang-750x750.jpg,"[{""name"": ""salmon head"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr sinigang sa Sampaloc with Miso"", ""amount"": ""23"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""mustard leaves"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""daikon radish"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""long green peppers"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": """"}, {""name"": ""okras"", ""amount"": ""8"", ""unit"": """", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""thumbs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""fish sauce to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat cooking oil in a cooking pot. Saute onion, garlic, and ginger."", ""Add the salmon once the onion softens. Pour the water and let it boil."", ""Add Knorr sinigang sa Sampaloc with Miso and daikon radish. Cover and continue cooking in low heat for 5 minutes."", ""Add okra, long green pepper, and tomatoes. Cook for 5 minutes."", ""Season with ground black pepper and fish sauce."", ""Add the mustard leaves. Cook for 2 minutes."", ""Transfer to a serving bowl. Serve hot."", ""Share and enjoy!""]"
Ginataang Sitaw at Kalabasa with Fried Tilapia,10 minutes,NA,2,https://panlasangpinoy.com/wp-content/uploads/2023/03/ginataang-gulay-with-isda-750x750.jpg,"[{""name"": ""tilapia"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": ""cleaned and scales removed""}, {""name"": ""Knorr Ginataang Gulay Mix"", ""amount"": ""45"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""calabaza squash"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""sliced""}, {""name"": ""string beans"", ""amount"": ""12"", ""unit"": """", ""notes"": ""cut in 2-inch length pieces""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""crushed and chopped""}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Prepare the fish by washing it thoroughly. Let it dry. Rub salt all over it and into the cavity."", ""Heat 1 cup cooking oil in a pan. Fry one side of the fish until it gets golden brown and crispy. Turn it over and do the same procedure on the opposite side. Remove from the pan arrange on a serving plate. Set aside."", ""Cook the ginataang sitaw by sauteeing garlic and onion in a pan."", ""Add the sliced calabaza squash (kalabasa). Stir-fry for 2 minutes."", ""Add the string beans. Cook while occasionally stirring for 2 minutes."", ""Combine Knorr Ginataang Gulay Mix and 1 \u00bd cups water. Stir and pour it into the pan. Cover the pan with a lid and let the liquid boil. Cook for 5 to 7 minutes."", ""You can season with salt and ground black pepper as needed."", ""Serve with rice and fried tilapia. Share and enjoy!""]"
Pork Monggo with Fried Galunggong,10 minutes,50 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/03/ginisang-monggo-recipe-jpg-750x750.webp,"[{""name"": ""mung beans"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""pork"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": ""cut into small pieces""}, {""name"": ""hot pepper leaves"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""water"", ""amount"": ""5"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""round scad"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""galunggong, cleaned""}, {""name"": ""salt"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}]","[""Start to tenderize the mung beans by boiling 4 cups of water in a cooking pot. Add the mung beans. Cover and cook in low heat setting until it softens."", ""Meanwhile, prepare the fish by rubbing salt all over it, including the cavity. Heat 1 cups of cooking oil in a pan. Fry the fish until it gets crispy. Set aside."", ""Cook the pork monggo by heating 3 tablespoons of cooking oil that you used to fry the fish. Saute garlic, onion, and tomato."", ""Once the onion softens, add the pork. Cook it until it starts to brown. Pour 1 cup water. Let it boil. Cover and continue cooking for 10 minutes."", ""Add the softened mung beans and more water as needed. Stir and cook for 5 minutes."", ""Add hot pepper leaves and season with fish sauce and ground black pepper."", ""Transfer to a serving bowl. Serve with warm rice and fried galunggong. Share and enjoy!""]"
Sisig s,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/03/easy-sisig-recipes-jpg-750x750.webp,"[{""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr liquid seasoning"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""lemon lime soda"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""calamansi juice"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""dried bay leaves"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Thai chili pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""extra firm tofu"", ""amount"": ""16"", ""unit"": ""ounces"", ""notes"": ""diced""}, {""name"": ""Thai chili pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""red bell pepper"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""luncheon meat"", ""amount"": ""15"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""tuna"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": ""canned""}, {""name"": ""red bell pepper"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Combine all Sisig seasoning ingredients in a bowl. Mix well until smooth. Set aside."", ""Make lechon kawali sisig by boiling the pork belly with whole peppercorn and dried bay leaves in 6 to 8 cups of water for 50 minutes or until tender. Remove from the pot and let it cool down. Rub it with 2 teaspoons of salt. Deep-fry the pork belly until golden brown and crispy. Chop into serving pieces. Combine a quarter of the sisig seasoning ingredients with 2 tablespoons of liver spread. Put the chopped pork belly, thai chili pepper, green onions, and red onions in a mixing bowl and then add the Sisig seasoning mixture. Toss until well blended. Serve."", ""Make the crispy tofu sisig by deep frying the tofu until golden brown and crispy. Drain the oil and set aside. Arrange fried tofu, bell pepper, thai chili pepper, green onions, and red onions in a mixing bowl. Add a quarter of the sisig seasoning. Toss until evenly distributed. Serve!"", ""Make the luncheon meat sisig by deep frying the luncheon meat until golden brown and crispy. Drain the oil and set aside. Arrange luncheon meat, green onions, and red onions in a mixing bowl. Combine Sisig seasoning with 1 tablespoon liver spread and add it into the bowl. Toss until evenly distributed. Serve!"", ""Make the tuna sisig by heating butter in a pan. Add drained canned tuna. Saute for 2 minutes. Season with salt and ground black pepper and let it cool down. Combine tuna, bell pepper, green onions, red onions, and the remaining sisig seasoning. Toss. Serve. Share and enjoy!""]"
Filipino Style Escabeche,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2022/08/fish-escabeche-recipe-jpg-750x750.webp,"[{""name"": ""fish"", ""amount"": ""2"", ""unit"": ""lbs"", ""notes"": ""(large) sliced into serving pieces""}, {""name"": ""cooking oil"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""thinly sliced""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""thumbs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""white vinegar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""banana ketchup"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white sugar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Rub salt all over the fish slices. Let it stand for 5 minutes."", ""Heat cooking oil. Fry both sides of the fish until it turns golden brown in color. Remove the fish from the pan and arrange on a serving plate."", ""Make the escabeche sauce by heating 2 tablespoons of oil in a pan. Saut\u00e9 garlic and onion until the latter softens."", ""Add tomato ketchup, vinegar, sugar, and water. Stir and let boil."", ""Put the bell peppers and carrots into the pan. Cook for 3 minutes."", ""Season with salt and pepper."", ""Combine cornstarch with 2 tablespoons of water. Mix well. Pour the mixture into the pan. Stir until the sauce thickens to your desired consistency."", ""Pour the escabeche sauce over the fried fish. Serve warm."", ""Share and enjoy!""]"
Baked Garlic Salmon and Tofu Sisig,10 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2022/08/Baked-salmon-2-jpg-750x750.webp,"[{""name"": ""salmon fillet"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lemon juice"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Parmesan cheese"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""toasted garlic"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""tofu"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""cut into cubes""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""butter"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""unsalted""}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""Chili flavor""}, {""name"": ""onion Powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""A dash of ground black pepper"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Start making the tofu sisig by air frying the tofu for 15 minutes. Set it aside once done."", ""Make the dressing by combining all the tofu sisig dressing ingredients in a bowl. Mix well. Set aside."", ""Heat 2 tablespoons of butter in a pan. Saute the onion until it softens. Add bell peppers and continue cooking for 1 minute. Add the air fried tofu. Cook for 30 seconds."", ""Melt the remaining butter in a metal plate (sizzling plate). Transfer the tofu sisig and top with the dressing. Serve while its sizzling hot."", ""Meanwhile, start making the garlic salmon by preheating the oven to 180C (around 356F).  Rub salt all over the salmon and arrange on a baking pan."", ""Make the topping by combining Lady\u2019s Choice Mayonnaise and lemon juice. Mix well and spread over the salmon fillet."", ""Bake the salmon for 12 to 15 minutes. Top with Parmesan cheese and toasted garlic. Serve. Share and enjoy!""]"
Tochong Bangus,5 minutes,40 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/01/Tochong-Bangus-Panlasang-Pinoy-Recipe-jpg-750x750.webp,"[{""name"": ""bangus"", ""amount"": ""1"", ""unit"": """", ""notes"": ""cleaned and sliced diagonally into pieces""}, {""name"": ""tofu"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""fried""}, {""name"": ""tahure"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": ""fermented bean curd, mashed""}, {""name"": ""tausi"", ""amount"": ""2"", ""unit"": ""Tablespoons"", ""notes"": ""salted black beans""}, {""name"": ""tomatoes"", ""amount"": ""4"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""thumb"", ""notes"": ""Julienne""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""white vinegar"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""optional""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Rub salt all over the fish. Let it stay for 10 minutes."", ""Heat oil in a pan. Fry both sides of the fish until the color turns light to medium brown. Remove fish from the pan and place on a clean plate. Set aside."", ""Make the tocho sauce by heating 3 Tablespoons of cooking oil in a clean pan. Saut\u00e9 garlic, onion, ginger, and tomato."", ""Once the onion softens, add vinegar, tahure and tausi. Cook for 30 seconds."", ""Pour water into the pan. Let boil. Cook in a low heat setting for 3 minutes."", ""Add fried fish and fried tofu in the pan. Cover and continue cooking for 8 to 10 minutes. Note: add water as needed."", ""Season with salt, ground black pepper, and sugar. Serve with warm rice. Share and enjoy!""]"
