Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Pancit Canton Noodles,10 minutes,35 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2024/02/seafood-noodles-with-egg-750x750.jpg,"[{""name"": ""Pancit canton"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Knorr crab and Corn soup"", ""amount"": ""37"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""shrimp"", ""amount"": ""10"", ""unit"": ""pieces"", ""notes"": ""cleaned""}, {""name"": ""quail eggs"", ""amount"": ""12"", ""unit"": ""pieces"", ""notes"": ""boiled""}, {""name"": ""chicken thigh"", ""amount"": ""\u00bc"", ""unit"": ""lb."", ""notes"": ""sliced""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""thinly sliced crosswise""}, {""name"": ""baby bok choy"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""halved""}, {""name"": ""green onion"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}]","[""Start to blanch the vegetables and shrimp by boiling the water in a cooking pot. Put the carrot first, quickly boil for 1-minute. Remove the carrot from the cooking pot and transfer to a bowl with ice cold water. Soak it for 2 minutes and then remove from the bowl and place in a clean plate. Do the same step with the bok choy and shrimp. Set aside."", ""Fry the pancit canton noodles. Start by heating 2 cups of oil in a wok. Add the pancit canton. Deep fry while gently tossing until it becomes crispy (around 30 to 45 seconds). Remove from the cooking pot. Let the oil drip before arranging it on a serving plate."", ""Make the sauce by saut\u00e9ing garlic and the white part of the green onion. Add the chicken thigh. Cook for 2 minutes. Add the shrimp and carrot. Stir-fry for 30 seconds."", ""Combine Knorr Crab and Corn Soup with 500 ml. water. Mix well. Pour the mixture into the cooking pot. Stir and continue cooking until the sauce thickens."", ""Add the quail eggs, oyster sauce, and sesame oil. Season with ground white pepper."", ""Arrange the bok choy around the plate and then pour the sauce over the crispy noodles. Serve warm. Share and enjoy!""]"
Palabok,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/01/crispy-palabok-with-toppings-750x750.jpg,"[{""name"": ""rice vermicelli"", ""amount"": ""250"", ""unit"": ""grams"", ""notes"": ""sotanghon""}, {""name"": ""cooking oil"", ""amount"": ""2 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""ground pork"", ""amount"": ""1/2"", ""unit"": ""lb."", ""notes"": ""see note 1""}, {""name"": ""annatto powder"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""see note 2""}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""smoked fish flakes"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""see note 3""}, {""name"": ""all-purpose flour"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""pork rinds"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""crushed""}, {""name"": ""hard boiled eggs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""wedged""}, {""name"": ""shrimp"", ""amount"": ""12"", ""unit"": ""pieces"", ""notes"": ""see note 4""}, {""name"": ""green onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""toasted garlic"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""wedged, see note 5""}]","[""Heat 2 \u00bd cups of cooking oil in a wok or cooking pot. Once the oil reaches 350F, fry the vermicelli until it gets puffed and crispy. Remove from the pan and let the oil drip off. Arrange on a serving plate. Also arrange half of the topping ingredients around the plate."", ""Make the sauce by heating the oil in a wok. Saute the white part of the green onion until it softens. Add the ground pork. Saute until it browns."", ""Add the annatto powder and flour. Continue cooking while stirring for 1 minute."", ""Pour the water into the wok. Bring it to a simmer."", ""Add Knorr Shrimp Cube, smoked fish flakes, and anion powder. Continue to simmer while stirring for 3 to 5 minutes. Make sure to add more water if the sauce needs to be thinned down. Season with fish sauce and ground black pepper."", ""Pour the sauce over the crispy noodles (Note: it is recommended to do this while the sauce is hot). Top with the remaining ingredients."", ""Serve. Share and enjoy!""]"
Special Pancit Canton,10 minutes,40 minutes,NA,https://panlasangpinoy.com/wp-content/uploads/2023/10/special-pancit-canton-750x750.jpg,"[{""name"": ""pancit canton"", ""amount"": ""400"", ""unit"": ""grams"", ""notes"": ""boiled for 2 minutes.""}, {""name"": ""Knorr Shrimp cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""pork belly"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""pork liver"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""Chinese sausage"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""kikiam"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""shrimp"", ""amount"": ""12"", ""unit"": """", ""notes"": """"}, {""name"": ""quail eggs"", ""amount"": ""12"", ""unit"": """", ""notes"": ""boiled""}, {""name"": ""cabbage"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": ""sliced""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""long green beans"", ""amount"": ""20"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""3 \u00bd"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Sesame oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Combine pork liver and milk in a bowl. Marinate for 1 hour. Discard the milk and then rinse the pork liver with water. Set aside."", ""Boil water in a cooking pot. Add the pork and 1 teaspoon salt. Cover the pot and continue to boil until the pork tenderizes. Remove the pork and slice into thin pieces. Set the pork stock aside."", ""Clean the shrimp and remove the head and shells. Combine the shell and head of the shrimp with the pork stock. Boil for 2 minutes. Run it through a kitchen sieve to filter the solid parts. Let the stock cool down and combine with cornstarch. Stir. Set it aside."", ""Heat oil in a large casserole or skillet. Saut\u00e9 the garlic and onion."", ""Once the onion softens, add the pork belly, kikiam, and Chinese sausage. Continue saut\u00e9ing for 2 minutes. Add the pork liver. Cook for 1 \u00bd minutes."", ""Pour the oyster sauce. Stir."", ""Put the vegetables into the skillet starting with the cabbage. Add the long green beans, carrot, and bell pepper. Toss."", ""Add the shrimp, soy sauce, sesame oil, and stock (from pork and shrimp). Let it boil and then add the Knorr Shrimp Cube. Cook for 3 minutes."", ""Toss-in the pancit canton. Continue cooking until all the ingredients are well blended."", ""Season with salt and ground black pepper. Serve. Share and enjoy.""]"
Sotanghon with Sayote and Giniling,5 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/08/sotanghon-with-sayote-750x750.jpg,"[{""name"": ""sotanghon"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""ground pork"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""chayote"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""annatto seeds"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""8"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""3"", ""unit"": ""stalks"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Make the annatto oil by combining 4 tablespoons of cooking oil and 1 teaspoon annatto seeds in a pan. Start heating the pan while gently stirring the oil. Turn the heat off once the oil shimmers. Continue to stir until the oil turns orangey. Remove the annatto seeds."", ""Using the annatto oil, saut\u00e9 garlic until it browns."", ""Add the onion and the bottom part of the green onions. Continue to saut\u00e9 until it softens."", ""Add the ground pork. Saut\u00e9 until it browns."", ""Add 2 teaspoons fish sauce. Stir."", ""Pour 2 cups water. Cover the pot and let it boil. Reduce the heat to low setting. Boil the pork for 2 minutes."", ""Add the remaining water and let it boil."", ""Stir-in the chayote, and sotanghon noodles. Cook for 8 minutes."", ""Season with fish sauce and ground black pepper."", ""Transfer to a serving bowl and garnish with chopped green onion."", ""Serve hot. Share and enjoy!""]"
Seafood Lomi,5 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/07/Seafood-Lomi-Recipe-750x750.jpg,"[{""name"": ""wonton noodles"", ""amount"": ""14"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""Knorr Crab and Corn Soup"", ""amount"": ""55"", ""unit"": ""Grams"", ""notes"": """"}, {""name"": ""Squid balls."", ""amount"": ""8"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""Kani"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": ""crab meat""}, {""name"": ""head cabbage"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": ""shredded""}, {""name"": ""carrots"", ""amount"": ""4"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""long green beans"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""5"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat oil in a cooking pot. Saut\u00e9 the garlic and onion until the latter softens."", ""Add the squid balls and soy sauce. Saut\u00e9 for 2 minutes."", ""Combine Knorr Crab and Corn Soup with 5 cups water. Stir until blended. Pour the mixture into the cooking pot. Let it boil."", ""Add the carrot, kani, long green beans, and cabbage. Cover and cook for 3 minutes."", ""Add the noodles and egg. Stir and continue cooking for 3 to 5 minutes."", ""Season with salt and ground black pepper."", ""Serve hot. Share and enjoy!""]"
Sotanghon Guisado,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/03/Sotanghon-Guisado-Recipe-jpg-750x750.webp,"[{""name"": ""pork shoulder"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""vermicelli"", ""amount"": ""300"", ""unit"": ""grams"", ""notes"": ""(note 1)""}, {""name"": ""head cabbage"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": ""(note 2)""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""(note 3)""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""(note 4)""}, {""name"": ""green onion"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""(note 5)""}, {""name"": ""snow peas"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""8"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""annatto seeds"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Soak sotanghon in water for 10 to 12 minutes."", ""Heat cooking oil in a pan. Add the crushed garlic. Continue cooking until the garlic browns. Remove the garlic. Set aside."", ""Make the annatto oil by adding annatto seeds into the pan with the garlic infused oil. Stir until the oil turns orange in color (around 10 seconds). Remove the seeds and discard."", ""Saute the pork using the garlic infused annatto oil until it browns."", ""Reduce the oil by removing part of it until around 3 tablespoons are left. Continue cooking by saut\u00e9ing the onion until it softens."", ""Add carrots. Cook for 1 minute and then add soy sauce and \u00bd cup water. Let boil."", ""Add Knorr Shrimp Cube, cabbage, snow peas, and bell pepper. Stir and cook for 2 minutes."", ""Put the sotanghon into the pan. Gently toss until all the ingredients are well blended."", ""Add remaining water. Cover and continue cooking in low heat for 3 minutes."", ""Add green onions and season with fish sauce and ground black pepper."", ""Sprinkle the toasted garlic on top."", ""Transfer to a serving plate. Serve. Share and enjoy!""]"
All Out Pancit Canton,NA,NA,6,https://panlasangpinoy.com/wp-content/uploads/2023/03/Filipino-pancit-canton-jpg-750x750.webp,"[{""name"": ""pancit canton noodles"", ""amount"": ""350"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Knorr shrimp cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""shrimp"", ""amount"": ""1/2"", ""unit"": ""lb."", ""notes"": ""head and shell removed""}, {""name"": ""chicken breast"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""Chinese sausage"", ""amount"": ""2"", ""unit"": ""links"", ""notes"": ""sliced""}, {""name"": ""squid balls"", ""amount"": ""6"", ""unit"": """", ""notes"": ""halved""}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""water"", ""amount"": ""8"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""cabbage"", ""amount"": ""\u00bd"", ""unit"": ""head"", ""notes"": ""chopped""}, {""name"": ""carrots"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""julienned""}, {""name"": ""snow peas"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": """"}]","[""Boil water and then add salt. Put the pancit canton noodles. Cook for 2 minutes. Remove the noodles and set aside."", ""Using the remaining water, blanch the vegetable ingredients for 1 to 2 minutes. Remove from the pot and soak in ice cold water for 30 seconds. Drain the water and set the vegetables aside."", ""Heat oil in a clean cooking pot. Saute onion and garlic until the onion softens."", ""Add chicken breast, squid balls, and Chinese sausage. Saute for 1 to 2 minutes."", ""Add the shrimp. Cook for 1 minute."", ""Pour the soy sauce in the cooking pot and then add oyster sauce, and 1 cup water. Let the liquid boil."", ""Add Knorr shrimp cube. Stir and gently toss-in the pancit canton noodles and add the chopped parsley. Cover the pot. Adjust the heat setting of your stove between low and medium. Cook the noodles cook for 2 to 3 minutes or until well done, but not soggy (Note: add more water if needed)."", ""Toss the blanched vegetables in the pot. Season with salt and ground black pepper."", ""Transfer to a serving plate. Serve with lemon wedges or calamansi. Share and enjoy!""]"
Bagnet Pancit Canton,15 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2022/07/bagnet-pancit-jpg-750x750.webp,"[{""name"": ""bagnet"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""sliced""}, {""name"": ""shrimp"", ""amount"": ""12"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""Shiitake mushroom"", ""amount"": ""8"", ""unit"": """", ""notes"": ""sliced in half""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""Julienne""}, {""name"": ""head cabbage"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""Napa cabbage"", ""amount"": ""2"", ""unit"": ""leaves"", ""notes"": ""sliced""}, {""name"": ""snow peas"", ""amount"": ""12"", ""unit"": """", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""julienne""}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""julienne""}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""minced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""thinly sliced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""soy sauce"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Egg noodles"", ""amount"": ""\u00bd"", ""unit"": ""lb."", ""notes"": ""pancit canton""}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}]","[""Prepare the egg noodles by boiling 6 cups of water in a cooking pot. Add Knorr Pork Cube. Stir until diluted. Put the egg noodles into the pot and toss. Continue cooking until the noodles are soft but not mushy. Set aside."", ""Heat oil in a clean pot. Saut\u00e9 onion and garlic."", ""Once the onion softens, add mushrooms, carrot, cabbage, snow peas, bell peppers and parsley. Cook for 30 seconds."", ""Add shrimp.  Toss and cook until the shrimp turns orange in color."", ""Add Napa cabbage, soy sauce, oyster sauce, and \u00bc cup water. Toss and cook for 1 minute."", ""Put the egg noodles back into the pot. Toss until all the ingredients are well blended."", ""Season with ground black pepper and top with bagnet slices."", ""Serve warm. Share and enjoy!""]"
Pan Fried Noodles,10 minutes,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/01/Pan-Fried-Noodles-Recipe-jpg-750x750.webp,"[{""name"": ""egg noodles"", ""amount"": ""14"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""beef"", ""amount"": ""\u00bd"", ""unit"": ""lb."", ""notes"": ""sliced into thin pieces""}, {""name"": ""green onion"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""bunches bok choy"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""carrots"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""Julienne""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""minced ginger"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""3 \u00bd"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""Shaoxing cooking wine"", ""amount"": ""3"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""3"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""ground white pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Prepare the noodles based on package instructions. Discard remaining water."", ""Heat 2 tablespoons of cooking oil in a pan. Add the noodles. Fry until the bottom part turns light brown. Continue by frying the opposite side (Note: if necessary, do this in 2 batches). Remove the noodles from the pan and arrange on a serving dish."", ""Combine all the sauce ingredients in a bowl. Mix well. Set aside."", ""Heat remaining oil on the same pan. Stir fry the beef until it browns. Add onion, ginger, and garlic. Cook until onion softens."", ""Add green onion and bok choy. Cook for 1 minute."", ""Pour the sauce mixture into the pan. Stir. Continue cooking until the sauce thickens to your desired consistency."", ""Pour everything over the fried noodles. Serve hot."", ""Share and enjoy!""]"
Garlic Butter Shrimp Pancit Canton,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2021/12/Garlic-Butter-Shrimp-Pancit-Canton-Recipe-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""10"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": ""fried""}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""pancit canton"", ""amount"": ""21"", ""unit"": ""ounces"", ""notes"": ""flour noodles""}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cabbage"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": ""shredded""}, {""name"": ""lemon"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""head garlic"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""5"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Melt butter in a wok. Add cooking oil."", ""Put the garlic in the wok. Stir-fry until it turns light brown."", ""Add shrimp. Cook each side for 1 minute."", ""Squeeze the lemon over the shrimp. Cover the wok. Continue cooking for 1 minute. Season with salt."", ""Remove the shrimp from the wok and place in a clean plate. Leave the juices in the wok."", ""Allow the juices to evaporate until you are only left with the fats (butter and oil mixture)."", ""Saut\u00e9 onion until it softens and then add soy sauce and water. Let it boil."", ""Add Knorr Shrimp cube. Stir."", ""Put the cabbage and carrot in the wok. Cook for 30 seconds."", ""Add the noodles. Gently toss while cooking. Cook until the noodles completely absorb the liquid."", ""Add oyster sauce and green onion. Season with ground black pepper. Toss until all ingredients are well distributed."", ""Arrange the pancit canton in a serving plate and then top with shrimp and fried egg."", ""Share. Serve and enjoy!""]"
