Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Truffle Mushroom Pasta,5 minutes,20 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2023/11/mushroom-pasta-750x750.jpg,"[{""name"": ""Fettuccine"", ""amount"": ""\u00bd"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""Knorr Cream of Mushroom"", ""amount"": ""35"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""baby bella mushroom"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""heavy whipping cream"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""truffle oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""sprig rosemary"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""parmesan cheese"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""olive oil"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook the fettuccine based on package instructions. Set aside."", ""Make the sauce by melting butter in a pan. Add the olive oil."", ""Saut\u00e9 the mushrooms until soft."", ""Combine Knorr Cream of mushroom and water. Mix well. Pour the mixture into the pan and add the rosemary. Cook for 10 minutes using the lowest heat setting."", ""Pour the heavy cream and add truffle oil. Season with ground black pepper and parmesan cheese."", ""Toss-in the fettuccine making sure that it completely gets coated with the sauce."", ""Transfer to a serving plate. Sprinkle parsley and top with more parmesan."", ""Share and enjoy!""]"
Filipino Spaghetti,10 minutes,45 minutes,NA,https://panlasangpinoy.com/wp-content/uploads/2023/10/Filipino-style-spaghetti-recipe-750x750.jpg,"[{""name"": ""spaghetti"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""ground pork"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""hotdogs"", ""amount"": ""12"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""Filipino Style Spaghetti Sauce"", ""amount"": ""35"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook the Spaghetti noodles (al dente) according to package instructions. Once cooked, Drain the water, and then transfer the spaghetti to a bowl. Cover it and set aside."", ""Heat the oil in a Pan. Saut\u00e9 the onion and garlic."", ""Once the onions soften, add the ground pork. Cook until the color turns light brown."", ""Add the hotdog. Continue saut\u00e9ing for 30 seconds."", ""Add the flour. Continue cooking for 1 minute."", ""Pour-in the Spaghetti sauce and water into the pan. Stir continuously until the texture of the sauce smoothens. Cover the pan. Let it boil."", ""Add Knorr Pork Cube. Cook for 15 to 18 minutes or until the sauce gets thick enough."", ""Add the liver spread and season with salt and ground black pepper as needed."", ""Add the cooked spaghetti into the pan. Toss until it completely gets coated with the sauce."", ""Top with shredded cheddar cheese."", ""Transfer to a serving plate and serve. Share and enjoy!""]"
One Pot Spaghetti,5 minutes,45 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/09/spaghetti-750x750.jpg,"[{""name"": ""ground beef"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""spaghetti"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""Knorr Beef Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""fresh mushroom"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": ""chopped""}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""diced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""marinara sauce"", ""amount"": ""24"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cream cheese"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Pour 4 quarts of water on a cooking pot. Let it boil and then add 1 teaspoon salt and spaghetti. Continue cooking for 11 minutes. Drain the water and set the spaghetti aside."", ""Heat the same cooking pot. Add the ground beef. Cook until it browns."", ""Add onion, garlic, mushroom, and bell pepper. Saute for 3 to 5 minutes."", ""Drain the oil out and then add the marinara sauce and 1 1/2 cups water. Let it boil."", ""Add Knorr Beef Cube. Cover the pot and then adjust the heat to the lowest setting. Continue cooking for 20 minutes. Note: stir the mixture every 5 minutes and add more water as needed."", ""Put the cooked spaghetti back into the pot. Toss until it gets coated by the sauce."", ""Season with salt and ground black pepper and then add the cream cheese. Toss."", ""Top with grated cheddar cheese. Serve warm with garlic bread. Share and enjoy!""]"
Pinoy Carbonara with Ham and Bacon,5 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/05/Pinoy-carbonara-750x750.jpg,"[{""name"": ""spaghetti"", ""amount"": ""300"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Knorr Cream of Mushroom Soup"", ""amount"": ""68g"", ""unit"": """", ""notes"": """"}, {""name"": ""strips bacon"", ""amount"": ""8"", ""unit"": """", ""notes"": ""cut into \u00bd cm slices""}, {""name"": ""butter"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""cloves"", ""notes"": ""finely chopped""}, {""name"": ""button mushrooms"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""sliced""}, {""name"": ""all-purpose flour"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""grated Parmesan Cheese"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook the spaghetti based on package instructions. Drain the water and set it aside."", ""Heat pan. Add the bacon. Cook until crispy. Remove from the pan. Set aside."", ""Melt butter on the same pan where the bacon was cooked. Saute garlic for 10 seconds. Add mushrooms and all-purpose flour. Cook for 30 seconds while stirring."", ""Combine Knorr Cream of Mushroom Soup and water. Stir. Pour the mixture into the pan. Continue cooking while stirring until the sauce thickens to your desired consistency."", ""Season with parmesan cheese and ground black pepper."", ""Turn the heat off and toss the pasta."", ""Transfer to a serving plate and top with bacon slices and more parmesan cheese."", ""Serve. Share and enjoy!""]"
No Bake Macaroni,10 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/01/no-bake-macaroni-jpg-webp-750x750.webp,"[{""name"": ""CDO Home Style Corned Beef in Pasta Sauce"", ""amount"": ""520"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""elbow macaroni"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""chopped""}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook the macaroni based on package instructions. Drain the water and set the macaroni aside."", ""Heat oil in a wide cooking pot. Saut\u00e9 onion and garlic until the onion softens."", ""Add CDO Home Style Corned Beef in Pasta Sauce. Continue cooking for 3 to 5 minutes while stirring occasionally. Season with salt and ground black pepper as needed."", ""Put the cooked macaroni into the pot. Toss and cook for 2 minutes."", ""Transfer to a serving plate. Top with grated cheese and garnish with chopped parsley."", ""Serve hot. Share and enjoy!""]"
Longganisa Pasta,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/longganisa-pasta-recipe-jpg-webp-750x750.webp,"[{""name"": ""CDO Skinless Longganisa"", ""amount"": ""6"", ""unit"": """", ""notes"": ""cooked""}, {""name"": ""penne pasta"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""cooked""}, {""name"": ""tomato sauce"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""Italian Seasoning"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""red pepper flakes"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""tomato paste"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat oil in a pan. Saut\u00e9 onion and garlic until the onion softens."", ""Pour the tomato sauce into the pan. Let boil."", ""Add Italian seasoning and red pepper flakes. Cover and continue cooking in low heat for 15 minutes."", ""Thicken the sauce by adding tomato paste and then put the cooked penne pasta into the pan. Toss. Cook for 1 minute."", ""Slice the longganisa into half and add these into the pan. Toss."", ""Season with salt and ground black pepper. Add cheddar cheese."", ""Transfer to a serving plate. Serve warm. Share and enjoy!""]"
Filipino Chicken Pasta Alfredo,NA,NA,NA,https://panlasangpinoy.com/wp-content/uploads/2023/01/creamy-chicken-pasta-carbonara-alfredo-jpg-webp-750x750.webp,"[{""name"": ""CDO Chicken Flakes in Oil"", ""amount"": ""300"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""fettucine pasta"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""all-purpose cream"", ""amount"": ""500"", ""unit"": ""ml."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""Parmesan cheese"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Cook pasta according to package instructions. Set aside."", ""Make the creamy sauce by melting butter in a cooking pot. Saut\u00e9 onion and garlic until the onion softens."", ""Add CDO chicken flakes. Continue cooking for 2 minutes."", ""Pour the all-purpose cream into the pot. Let it boil. Adjust the heat to low setting. Continue cooking while stirring occasionally until the sauce thicken to your desired consistency."", ""Add parmesan cheese. Stir."", ""Put the cooked pasta unto the cooking pot with the sauce. Toss until well blended. Season with chopped parsley."", ""Transfer to a pasta bowl. Serve."", ""Share and enjoy!""]"
The Only Filipino Spaghetti That I Trust for the Holidays,10 minutes,40 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2023/03/sweet-spaghetti-with-tomato-sauce-750x750.jpg,"[{""name"": ""spaghetti noodles"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""ground pork"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""Filipino style spaghetti sauce"", ""amount"": ""35"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""ham"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""hotdogs"", ""amount"": ""5"", ""unit"": """", ""notes"": ""sliced diagonally""}, {""name"": ""red bell pepper"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""green bell pepper"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""yellow onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""water"", ""amount"": ""8"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""shredded cheddar cheese"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Boil water in a cooking pot. Add a teaspoon of salt. Put the spaghetti noodles in the pot. Cook according to package instructions. Drain the water and set the spaghetti aside."", ""Make the sauce by heating oil in a cooking pot. Saut\u00e9 garlic and onion until the onion softens."", ""Add the ground pork. Cook it while stirring until it turns light brown in color."", ""Add the ham and hotdogs. Saut\u00e9 for 2 minutes."", ""Put the bell peppers into the pot. Continue cooking for 1 minute."", ""Pour the spaghetti sauce. Add 1 cup water. Stir and let boil."", ""Add Knorr pork cube. Cover the pot and reduce the heat to a simmer. Cook for 30 minutes while stirring every 6 minutes or so."", ""Season with salt and ground black pepper. You can add some grated cheese if preferred."", ""Arrange spaghetti on a serving plate. Top with spaghetti sauce and shredded cheese."", ""Serve. Share and enjoy!""]"
Lasagna RollUps,15 minutes,10 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2022/12/lasagna-roll-ups-2-jpg-webp-750x750.webp,"[{""name"": ""lasagna noodles"", ""amount"": ""12"", ""unit"": ""sheets"", ""notes"": """"}, {""name"": ""mozzarella cheese"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""minced""}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground beef"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""Knorr beef cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""marinara sauce"", ""amount"": ""23"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""ricotta cheese"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""mozzarella cheese"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""parmesan cheese"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""basil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}]","[""Boil 6 cups water in a cooking pot. Add salt and put-in the lasagna sheets. Cook it according to package instructions. Drain the water and set aside the lasagna."", ""Make the meat sauce by browning the ground beef in a cooking pot. Add onion and garlic. Continue cooking until the onion softens."", ""Pour the marinara sauce into the pot. Stir and let the mixture boil. Add Knorr beef cube. Reduce the heat to a simmer and cook for 8 to 10 minutes. Season with salt and ground black pepper. Set aside."", ""Combine all the cheese filling ingredient in a bowl. Mix well. Set aside."", ""Arrange the lasagna on a flat surface. Scoop around 3 to 4 tablespoons of cheese filling mixture and spread it over each lasagna sheet. Spread around 2 tablespoons of meat mixture over it."", ""Spread \u00bd cup of meat sauce on your baking pan. Roll each lasagna sheet and arrange it on the pan. Top with remaining meat sauce and sprinkle 1 cup mozzarella cheese over it. Cover the pan with aluminum foil. Bake in 375F for 30 minutes."", ""Take the foil out and broil until cheese browns a bit. Remove from the oven and sprinkle parsley on top."", ""Serve. Share and enjoy!""]"
Creamy Chicken Pasta with Bacon,10 minutes,25 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2022/12/creamy-chicken-pasta-recipe-with-bacon-jpg-webp-750x750.webp,"[{""name"": ""boneless chicken breast"", ""amount"": ""8"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""bacon"", ""amount"": ""5"", ""unit"": ""strips"", ""notes"": """"}, {""name"": ""penne pasta"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""grape tomato"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""halved""}, {""name"": ""baby spinach"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""red pepper flakes"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": ""optional""}, {""name"": ""Parmesan cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""paprika"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""heavy cream"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1"", ""unit"": ""pinch"", ""notes"": """"}]","[""Combine the chicken rub ingredients in a bowl. Mix well. Rub it all over the chicken breast."", ""Boil water in a cooking pot and add 1 teaspoon of salt. Put the pasta in. Cook according to package instructions. Drain the water and set the pasta aside."", ""Cook bacon in a pan until bacon oil is extracted and the bacon becomes crispy. Remove the crispy bacon from the pan. Set aside."", ""Using the bacon oil, fry the chicken breast for 5 to 8 minutes per side (note: the thicker the breast, the longer the frying time). Remove the chicken and let it cool down. Slice into serving pieces. Set aside."", ""Combine the pasta dressing ingredients and mix well."", ""Arrange pasta in a mixing bowl and then toss-in the dressing. Add tomato, spinach, chicken, bacon, red pepper flakes, and Parmesan cheese. Toss until all ingredients are well distributed."", ""Transfer to a pasta bowl and serve. Share and enjoy!""]"
