Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Pork Kilawin,15 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2014/11/pork-kilawin-1-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""cucumbers"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": ""(optional)""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""chili pepper"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""chopped""}, {""name"": ""white vinegar"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""white sugar"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""banana ketchup"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Combine all the marinade ingredients in a bowl. Mix well. Add the pork belly. Marinate for at least 3 hours."", ""Grill the pork belly until fully cooked. Slice it into serving pieces. Set aside."", ""Combine all the sauce ingredients in a large mixing bowl. Add the sliced pork, cucumber, tomato, onion, and chili pepper. Toss until well blended."", ""Transfer to a serving plate. Serve."", ""Share and enjoy!""]"
Pork Hamonado,5 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2009/02/hamonadong-baboy-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""sliced into serving pieces""}, {""name"": ""pineapple juice"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""pineapple chunks"", ""amount"": ""20"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""6"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""soy sauce"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat the oil in a cooking pot. Fry each side of the pork belly for 2 minutes."", ""Pour-in the soy sauce, pineapple juice, and half of the pineapple chunks."", ""Add the garlic and whole peppercorn. Cover and let it boil."", ""Reduce the heat to a simmer. Continue cooking until the pork tenderizes. Note: This should take around 60 minutes. You can add water as needed."", ""Add the remaining pineapple chunks and brown sugar. Season with salt as needed. Cook for 2 minutes."", ""Serve warm with rice. Share and enjoy!""]"
Braised Pork Belly with Potato and Peppers,NA,NA,3,https://panlasangpinoy.com/wp-content/uploads/2024/03/braised-pork-belly-recipe-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cubed""}, {""name"": ""potato"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""cut into large cubes""}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""dried bay leaves"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""chopped""}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Sear the pork belly until brown and enough oil has been extracted. Remove it from the pan and set it aside."", ""Saut\u00e9 the garlic and onion in the extracted pork fat until the onion softens."", ""Add the pork belly back into the pan. Saute it for 1 minute."", ""Pour the soy sauce and oyster sauce. Stir and then add the water. Cover the pan. Let the mixture boil. Add the dried bay leaves, and then adjust the heat setting to a simmer. Continue simmering for 30 minutes."", ""Add the white vinegar and sugar. Cover the pan and simmer until the pork tenderizes completely. Note: This can take from 30 to 45 minutes."", ""Add the potatoes. Cook it for 6 minutes."", ""Add the bell pepper and ground black pepper. Season with salt and ground black pepper. Cover and cook for 2 minutes."", ""Transfer to a serving plate. Serve warm. Share and enjoy!""]"
Pork Afritada,10 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2024/02/how-to-cook-afritada-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cut into large cubes""}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""hotdogs"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""sliced""}, {""name"": ""potatoes"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""cut into large cubes""}, {""name"": ""carrots"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": ""cut into large cubes""}, {""name"": ""tomato sauce"", ""amount"": ""16"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""bay leaves"", ""amount"": ""3"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""water"", ""amount"": ""1 1/2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a cooking pot. Fry the pork belly until the color of the outer part turns light to medium brown. Remove the pork and place on a clean plate. Set aside."", ""Put the hotdogs into the pot. Fry it for 1 minute. Remove and set aside."", ""Using the remaining oil, saut\u00e9 the garlic and onion."", ""Add the pork back once the onion softens. Saut\u00e9 it for 1 minute."", ""Pour the tomato sauce into the cooking pot. Add water. Let the mixture boil."", ""Add Knorr Pork Cube and bay leaves. Cover the pot and simmer for 1 hour or until the pork tenderizes."", ""Add the hotdogs, potato, and carrot. Cook for 5 minutes."", ""Add the bell peppers and season with salt and ground black pepper. Cook for 3 minutes."", ""Serve with white rice. Share and enjoy!""]"
Pork and Shrimp Siomai with Chili Garlic Oil,30 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2024/02/pork-and-shrimp-siomai-with-chili-oil-750x750.jpg,"[{""name"": ""ground pork"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""shrimp minced"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""see notes""}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""12"", ""unit"": ""ml."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""carrot"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""green onion"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""cornstarch"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""wonton wrapper"", ""amount"": ""50"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""heads"", ""notes"": ""peeled""}, {""name"": ""Thai chili pepper"", ""amount"": ""1/4"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""star anise"", ""amount"": ""1"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""bay leaves"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""see notes""}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""see notes""}]","[""Prepare the shumai by combining pork, shrimp, onion, carrot, green onion, and egg in a bowl. Mix well and then add Knorr Liquid Seasoning, sesame oil, salt, and ground black pepper. Continue mixing until the ingredients are well distributed."", ""Gradually add the cornstarch as needed. Note: this is a binding ingredient that helps absorb moisture from the mixture."", ""Put steamer liners on your steamer. Arrange the siomai on top. Steam for 20 to 30 minutes."", ""Make the chili garlic oil by mincing the garlic and Thai chili pepper in a food processor. "", ""Pour 1 1/2 cups of cooking oil in a wok and then add the minced garlic and chili peppers along with star anise and dried bay leaves. Turn on the heat of the stove to the lowest setting. Gradually stir the mixture while cooking for 30 to 45 minutes."", ""Add vinegar, brown sugar, salt, and oyster sauce unto the mixture. Continue cooking for 3 minutes. "", ""Remove the star anise and dried bay leaves."", ""Arrange the siomai on a serving plate and top with chili garlic oil then serve with a dipping sauce composed of soy sauce and calamansi."", ""Share and enjoy!""]"
Pork Chop Steak,5 minutes,50 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/02/pork-chop-steak-recipe-750x750.jpg,"[{""name"": ""pork chop"", ""amount"": ""4"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""yellow onions"", ""amount"": ""4"", ""unit"": ""pieces"", ""notes"": ""sliced into rings""}, {""name"": ""garlic"", ""amount"": ""10"", ""unit"": ""cloves"", ""notes"": ""crushed and chopped""}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""In a large bowl, combine pork chops, soy sauce, 5 cloves chopped garlic, juice of 1 lemon, and some ground black pepper. Mix it well. Marinate for at least 30 minutes."", ""Heat 1 tablespoon of cooking oil in a pan. Fry the pork chops for around 2 \u00bd minutes per side. Remove from the pan and set aside."", ""Heat the remaining oil. Saut\u00e9 half of the onions and the remaining garlic."", ""Add the pork chops once the onion softens. Continue to saut\u00e9 for 2 minutes."", ""Pour the remaining marinade and water into the pan. Let the liquid boil."", ""Add Knorr Pork Cube. Cover the pan and. Adjust the heat to the lowest setting. Simmer for 45 to 60 minutes or until the pork chop becomes tender."", ""Combine cornstarch with \u00bc cup water. Stir until well blended and then pour the mixture into the pan."", ""Add the remaining onions. Cover the pan and continue cooking for 3 minutes."", ""Transfer to a serving plate. Serve with warm rice."", ""Share and enjoy!""]"
Cheesy Pork Caldereta,10 minutes,NA,5,https://panlasangpinoy.com/wp-content/uploads/2023/12/pork-ribs-caldereta-recipe-750x750.jpg,"[{""name"": ""pork ribs"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": ""see note 1""}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""liver spread"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""see note 2""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""potatoes"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""diced""}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""diced""}, {""name"": ""tomato sauce"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""tomato paste"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Sprinkle salt on the potatoes and carrots. Toss to distribute. Air fry these at 350F for 12 minutes. Set aside."", ""Boil 2 cups water in a cooking pot. Add the pork ribs. Continue boiling for 3 minutes. Discard the water and set the pork aside."", ""Heat 3 tablespoons of cooking oil in a clean cooking pot. Saut\u00e9 the garlic until it starts to brown. Add the onion and continue cooking until it softens."", ""Add the pork ribs. Saut\u00e9 it until it turns light brown."", ""Pour the soy sauce. Continue cooking for 1 minute."", ""Add the tomato sauce and 2 cups of water. Let it boil."", ""Add Knorr Pork Cube. Cover the cooking pot. Adjust the heat to a simmer. Continue cooking until the pork tenderizes. Note: this usually take between 45 to 60 minutes."", ""Stir-in the liver spread and add tomato paste."", ""Put-in the bell peppers, carrots, potatoes, and green peas. Add Continue cooking for 2 minutes."", ""Add the cheese and Knorr Liquid Seasoning. Cook for 2 minutes."", ""Season with salt and ground black pepper."", ""Serve. Share and enjoy!""]"
Cheesy Lumpiang Shanghai,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/12/lumpia-cheesy-750x750.jpg,"[{""name"": ""lumpia wrapper"", ""amount"": ""30"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""ground pork"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""see note 1""}, {""name"": ""Mozzarella string cheese"", ""amount"": ""8"", ""unit"": ""pieces"", ""notes"": ""see note 2""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""cornstarch"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""see note 3""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Combine ground pork with the filling ingredients. Add Knorr Liquid seasoning. Mix everything together."", ""Wrap the lumpia by laying a sheet of lumpia wrapper on a clean flat surface. Scoop around 1 \u00bd tablespoons of mixture and spread it on one side of the wrapper. Put the sliced string cheese over and cover it completely with the meat mixture. Fold the sides of the wrapper inward, roll it, and secure the ends. Perform this step until the entire meat mixture is consumed."", ""Cook the lumpia by heating the remaining oil in a wok. Deep fry using medium heat setting until the lumpia turns golden brown."", ""Arrange on a serving plate and serve with ketchup. Share and enjoy!""]"
Lechon Sinigang,NA,NA,NA,https://panlasangpinoy.com/wp-content/uploads/2024/01/lechon-sinigang-recipe-750x750.jpg,"[{""name"": ""lechon"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cut into serving pieces""}, {""name"": ""Knorr Sinigang sa Sampaloc Original"", ""amount"": ""22"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""daikon radish"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced""}, {""name"": ""string beans"", ""amount"": ""15"", ""unit"": ""pieces"", ""notes"": ""cut into 2-inch pieces""}, {""name"": ""eggplants"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""sliced""}, {""name"": ""long green peppers"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""okra"", ""amount"": ""10"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""onions"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""wedged""}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""wedged""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""water spinach"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""kangkong""}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""quarts"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat the oil in a cooking pot. Saut\u00e9 the garlic, onion, and tomato."", ""Once the onion softens, add the lechon. Saut\u00e9 for 2 minutes."", ""Pour the water into the cooking pot. Cover and let it boil."", ""Add 2 sachets of Knorr Sinigang sa Sampaloc (original). Stir. Cover the pot and continue boiling (using the lowest heat setting of your stove) for 30 minutes."", ""Add the daikon radish. Cook for 5 minutes."", ""Add the long green pepper, okra, string beans, and eggplant. Cover and continue cooking for 5 minutes."", ""Add the water spinach. Cook for 2 minutes."", ""Season with fish sauce and ground black pepper."", ""Transfer to a serving bowl. Serve hot with rice."", ""Share and enjoy!""]"
Pork Belly with Boiled Eggs in Oyster Sauce,10 minutes,NA,5,https://panlasangpinoy.com/wp-content/uploads/2023/11/pork-belly-with-quail-eggs-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": ""sliced into serving pieces""}, {""name"": ""Knorr Pork cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""quail eggs"", ""amount"": ""25"", ""unit"": """", ""notes"": ""boiled and peeled""}, {""name"": ""onions"", ""amount"": ""3"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""lime"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""head garlic"", ""amount"": ""1"", ""unit"": """", ""notes"": ""crushed and chopped""}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Worcestershire sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat oil in a pan. Saut\u00e9 1 onion and garlic."", ""Add the pork belly. Continue saut\u00e9ing until it browns. Note: this can take up to 5 minutes."", ""Add the soy sauce, oyster sauce, and Worcestershire sauce. Stir and cook for 1 minute."", ""Pour the water into the pan. Cover it and let boil."", ""Add Knorr Pork cube. Cover and simmer for 60 to 80 minutes."", ""Add the brown sugar and squeeze the lime. Cook until the sauce evaporates almost completely."", ""Add the remaining onions. Stir and continue cooking until the onion softens."", ""Season with ground black pepper."", ""Add the boiled quail eggs and gently toss. Cook for 1 minute."", ""Transfer to a serving plate. Serve with rice. Share and enjoy!""]"
