Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Sisig s,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/03/easy-sisig-recipes-jpg-750x750.webp,"[{""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr liquid seasoning"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""lemon lime soda"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""calamansi juice"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""dried bay leaves"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Thai chili pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""extra firm tofu"", ""amount"": ""16"", ""unit"": ""ounces"", ""notes"": ""diced""}, {""name"": ""Thai chili pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""red bell pepper"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""luncheon meat"", ""amount"": ""15"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""liver spread"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""tuna"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": ""canned""}, {""name"": ""red bell pepper"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""green onions"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""red onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Combine all Sisig seasoning ingredients in a bowl. Mix well until smooth. Set aside."", ""Make lechon kawali sisig by boiling the pork belly with whole peppercorn and dried bay leaves in 6 to 8 cups of water for 50 minutes or until tender. Remove from the pot and let it cool down. Rub it with 2 teaspoons of salt. Deep-fry the pork belly until golden brown and crispy. Chop into serving pieces. Combine a quarter of the sisig seasoning ingredients with 2 tablespoons of liver spread. Put the chopped pork belly, thai chili pepper, green onions, and red onions in a mixing bowl and then add the Sisig seasoning mixture. Toss until well blended. Serve."", ""Make the crispy tofu sisig by deep frying the tofu until golden brown and crispy. Drain the oil and set aside. Arrange fried tofu, bell pepper, thai chili pepper, green onions, and red onions in a mixing bowl. Add a quarter of the sisig seasoning. Toss until evenly distributed. Serve!"", ""Make the luncheon meat sisig by deep frying the luncheon meat until golden brown and crispy. Drain the oil and set aside. Arrange luncheon meat, green onions, and red onions in a mixing bowl. Combine Sisig seasoning with 1 tablespoon liver spread and add it into the bowl. Toss until evenly distributed. Serve!"", ""Make the tuna sisig by heating butter in a pan. Add drained canned tuna. Saute for 2 minutes. Season with salt and ground black pepper and let it cool down. Combine tuna, bell pepper, green onions, red onions, and the remaining sisig seasoning. Toss. Serve. Share and enjoy!""]"
Tokwat Baboy,20 minutes,30 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2009/09/Tokwat-Baboy-Recipe-728x750.jpg,"[{""name"": ""pig ears"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""liempo""}, {""name"": ""tofu"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""extra firm tofu""}, {""name"": ""white vinegar"", ""amount"": ""1 1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced""}, {""name"": ""scallions"", ""amount"": ""2"", ""unit"": ""stalks"", ""notes"": ""cut in 1/2 inch length""}, {""name"": ""ground black pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""5"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}]","[""Pour-in water in a pot and bring to a boil"", ""Add salt and whole peppercorn"", ""Put-in the pig\u2019s ears and pork belly then simmer until tender (about 30 mins to 1 hour)"", ""Pour cooking oil on a separate pan and allow to heat"", ""When the oil is hot enough, deep-fry the tofu until color turns golden brown and outer texture is somewhat crispy"", ""Cube the fried tofu and slice the boiled pig\u2019s ears and pork belly into bite-sized pieces then set aside"", ""Combine the sugar, salt, soy sauce, and vinegar in bowl. Stir."", ""Microwave for 1 minute."", ""Add the ground black pepper, onions, green onions, and chili pepper. Transfer the sauce in a serving bowl."", ""Place the sliced meat and tofu in a serving plate with the bowl of sauce by the side"", ""Serve hot! Share and Enjoy!""]"
Bopis,10 minutes,30 minutes,8,https://panlasangpinoy.com/wp-content/uploads/2010/11/bopis-recipe-jpg-750x750.webp,"[{""name"": ""pork lungs"", ""amount"": ""3"", ""unit"": ""lbs"", ""notes"": """"}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""dried bay leaves"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""ginger"", ""amount"": ""3"", ""unit"": ""thumbs"", ""notes"": ""minced""}, {""name"": ""annatto powder"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Thai chili pepper"", ""amount"": ""3"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""vinegar"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Fish sauce to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": ""8"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""dried bay leaves"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""sibot"", ""amount"": ""25"", ""unit"": ""g"", ""notes"": """"}]","[""In a large pot, boil 8 cups of water and then add the rest of the boiling ingredients. Put the pig\u2019s lungs into the pot and continue boiling for 1 hours. Remove the lungs, let it cool down, and then dice into small pieces. Set aside."", ""Heat oil on a clean pot. Saut\u00e9 garlic, onion, and ginger."", ""Add the diced lungs once the onion softens. Cook for 3 minutes while stirring."", ""Add vinegar. Cook for 2 minutes."", ""Pour 2 \u00bd cups of water into the pot. Let it boil."", ""Add Knorr Pork cube and bay leaves. Stir. Cover the pot and adjust the heat between low to medium setting. Continue cooking until the liquid reduces to half."", ""Add the carrot, chili pepper, and annatto powder. Cook for 3 minutes."", ""Season with ground black pepper and fish sauce."", ""Transfer to a serving plate. Share and enjoy!""]"
Kilawing Kambing,15 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2022/07/kilawing-kambing-jpg-750x750.webp,"[{""name"": ""goat skin"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""cleaned""}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""Chili""}, {""name"": ""ginger"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""crushed""}, {""name"": ""white vinegar"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""ginger"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""minced""}, {""name"": ""Thai chili pepper"", ""amount"": ""10"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""onion powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""fish sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""quarts"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Boil water in a cooking pot. Add the crushed ginger and goat skin. Continue boiling for 1 hour or until the skin tenderizes. Remove the skin from the pot and let it cool down."", ""Chop the skin into small pieces. Set aside."", ""In a large bowl, combine vinegar and sugar. Mix well until the sugar gets diluted. Add fish sauce, minced ginger, onion, chili pepper, and ground black pepper. Stir."", ""Put the chopped goat skin into the same bowl and then add onion powder and Knorr Liquid seasoning. Mix until all the ingredients are well blended."", ""Cover the bowl and refrigerate for at least 1 hour before serving."", ""Share and enjoy!""]"
Pinapaitan sa Ampalaya,10 minutes,30 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2022/01/Pinapaitan-sa-Ampalaya-2-jpg-750x750.webp,"[{""name"": ""bitter melons"", ""amount"": ""2"", ""unit"": """", ""notes"": """"}, {""name"": ""beef tripe"", ""amount"": ""10"", ""unit"": ""ounces"", ""notes"": ""boiled and chopped""}, {""name"": ""beef heart"", ""amount"": ""10"", ""unit"": ""ounces"", ""notes"": ""boiled and chopped""}, {""name"": ""pork liver"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": ""sliced""}, {""name"": ""beef small intestine"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": ""boiled and chopped""}, {""name"": ""chili pepper"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""kamias"", ""amount"": ""5"", ""unit"": """", ""notes"": ""bilimbi""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""ginger"", ""amount"": ""3"", ""unit"": ""thumbs"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""white vinegar"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""6"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Prepare the bitter melons by removing the seeds. Chop the veggies into small pieces. Note: you can also use a food processor for best results."", ""Boil water in a cooking pot. Add chopped bitter melons. Boil for 3 minutes. Set aside."", ""Heat oil in a clean wok or pan. Saut\u00e9 garlic, onion, and ginger."", ""Once the onion softens, add the beef tripe, beef heart, and small intestine. Cook for 5 to 7 minutes."", ""Add liver. Cook for 1 minute."", ""Pour vinegar into the wok. Let the mixture boil."", ""Pour the water used to boil the bitter melons while straining. Cover and let the liquid boil. Set the heat to low. Continue boiling until all the ingredients gets tender."", ""Add kamias and chili peppers. Cook for 15 minutes."", ""Season with fish sauce and ground black pepper. Serve hot. Share and enjoy!""]"
Kakaibang Tokwat Baboy,5 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2021/12/Tokwat-Baboy-with-Sauce-jpg-750x750.webp,"[{""name"": ""pork belly"", ""amount"": ""2"", ""unit"": ""lbs"", ""notes"": """"}, {""name"": ""extra firm tofu"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""calamansi"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""chili pepper"", ""amount"": ""6"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""soy sauce"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""lemon lime soda"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Steam the pork belly for 45 minutes. Let it cool down."", ""Combine calamansi juice and soy sauce. Stir."", ""Place the pork belly in a resealable bag and then pour the soy sauce mixture. Marinate for 1 hour."", ""Slice the tofu into smaller pieces. Rub oil all over each piece. Air fry for 17 minutes at 400F. Let it cool down and then slice into cubes."", ""Grill the pork belly until fully cooked. Let it cool down and then slice into serving pieces."", ""Make the sauce by combining all the sauce ingredients in a large bowl. Mix well."", ""Add fried tofu and grilled pork belly. Toss until well blended."", ""Transfer to a serving bowl. Serve as an appetizer or main dish. Share and enjoy!""]"
Kalderetang Kambing,10 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2021/12/Kalderetang-Kambing-Recipe-jpg-750x750.webp,"[{""name"": ""goat meat"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""chevon, cubed""}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""minced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""Thai chili"", ""amount"": ""4"", ""unit"": """", ""notes"": ""optional""}, {""name"": ""tomato sauce"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""bell pepper"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""sliced""}, {""name"": ""liver spread"", ""amount"": ""6"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""green olives"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""optional""}, {""name"": ""vinegar"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""cubed""}, {""name"": ""potato"", ""amount"": ""1"", ""unit"": """", ""notes"": ""cubed""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Combine the vinegar, salt, and ground black pepper in a large bowl then marinate the goat meat for at least an hour (This should eliminate the gamey smell and taste of the meat) then separate the meat from the marinade."", ""Pour the cooking oil in a cooking pot or casserole and apply heat."", ""Saut\u00e9 the garlic, onion, and tomatoes"", ""Add the marinated goat meat then cook until the color of the outer part turns light brown"", ""Put-in the tomato sauce and crushed chili then allow to cook for 2 minutes"", ""Add the water and allow to boil. Simmer for at least 45 minutes or until the meat is tender."", ""Add the liver spread and cook for 5 minutes (You may add water if the sauce seems to dry up)"", ""Put-in the potatoes and carrots then simmer for 8 minutes."", ""Add the olives and bell pepper then simmer for another 5 minutes."", ""Add salt and pepper to taste."", ""Serve hot. Share and enjoy!""]"
Ulo and Lechon Sauce,15 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2021/11/Crispy-Ulo-Recipe-jpg-750x750.webp,"[{""name"": ""Pig head"", ""amount"": ""1/2"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""lemongrass"", ""amount"": ""2"", ""unit"": ""bunches"", ""notes"": """"}, {""name"": ""laurel leaves"", ""amount"": ""5"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""medium onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""quarts"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""pork liver"", ""amount"": ""7"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""dark brown sugar"", ""amount"": ""7"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""laurel leaves"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""large onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""minced garlic"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 \u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""bread crumbs"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Pour 3 to 5 cups of water in a large cooking pot and add the pig head. Let the liquid boil. Cook covered for 10 minutes. Discard the water afterwards."", ""Pour around the same amount of water in the pot and add  lemongrass, onion, and laurel leaves. Cover and boil the pig head with all the newly added ingredients for 60 to 90 minutes. You can turn the head over in the middle of the cooking process."", ""Discard everything except the pig head. Let it cool down. Create cross-hatch incisions on the face of the pig using a sharp knife. Rub salt all over the head and let it air dry for at least 3 hours (the longer the air drying process, the better the result)."", ""Rub oil all over the pig head and arrange it inside a turbo broiler. Broil for 1 hour at 400F."", ""Meanwhile, make the lechon sauce by heating 3 tablespoons of oil in a cooking pot. Add the sliced liver and saute for 3 minutes."", ""Remove the liver from the pot and place inside the blender. Add water and then puree. Set aside."", ""Heat the remaining oil (add more if needed). Saute garlic and onion until the onion softens. Add laurel leaves and whole peppercorn. Continue sauteeing for 1 minute."", ""Pour the liver puree into the pot. Stir and let boil."", ""Pour vinegar and soy sauce. Allow the liquid to reboil before stirring."", ""Add brown sugar and stir. Turn the heat off and pour the entire mixture back into the blender. Puree for 1 minute."", ""Pour the puree back into the cooking pot. Let it boil."", ""Season with salt and add breadcrumbs to thicken the sauce."", ""Arrange the crispy pig head on a serving plate and serve with lechon sauce on the side. Share and enjoy!""]"
Pinaputok na Tilapia,10 minutes,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2012/10/Pinaputok-na-Tilapia-1-750x750.jpg,"[{""name"": ""tilapia"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""cleaned and scales removed""}, {""name"": ""green mango"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""diced""}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""minced""}, {""name"": ""lemon juice"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Make about 2 to 3 slits on each side of the tilapia deep enough to reach the bones."", ""Rub about 1 teaspoon of salt per side. Let the fish absorb the flavor for about 15 minutes."", ""Combine the tomato, onion, mango, ginger, lemon juice, salt, and ground black pepper in a medium bowl. Mix well."", ""Scoop the tomato and onion mixture and stuff inside the cavity of the tilapia. Try to stuff all the mixture, if possible. Note that the tilapia should have a cut under the body due to removal of the innards."", ""Wrap the tilapia in an aluminum foil. Make sure that everything is covered."", ""Preheat oven to 370 degrees Fahrenheit."", ""Bake the tilapia for 20 minutes. (or grill each side of the fish for 10 minutes)"", ""Remove the tilapia from the oven and then open the top so that the fish is exposed. Brush the cooking oil over the fish."", ""Change the settings of the oven to broil (about 510 degrees Fahrenheit). Put the fish back-in with the exposed top. Broil for 15 minutes."", ""Remove the fish from the oven and serve with toyomansi."", ""Share and enjoy!""]"
Sizzling Pusit,7 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2021/04/sizzling-pusit.jpg,"[{""name"": ""squid"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""(large) cleaned""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced thinly""}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""cut into squares""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""wedged""}, {""name"": ""ginger"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": ""minced""}, {""name"": ""celery stalk"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""sliced""}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""margarine"", ""amount"": ""1 \u00bd"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""\u00bd"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""banana ketchup"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking wine"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""margarine"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Make the sauce by melting 2 tablespoons of margarine in a pan. Add flour. Stir and continue cooking using medium to high heat for 1 minute. Add Knorr Shrimp Cube. Continue stirring until all ingredients are well blended. Add Knorr Liquid Seasoning, banana ketchup, cooking wine, and water. Stir and let boil. Season with garlic powder and onion powder. Set aside."", ""Heat 2 tablespoons of cooking oil in a pan. Saut\u00e9 ginger and onion until the layers of the onion separate."", ""Stir-in carrot and celery. Cook for 1 minute."", ""Add bell pepper and squid. Continue cooking for 2 minutes. Season with salt and ground black pepper."", ""Heat 1 \u00bd tablespoons margarine in a metal plate. Add squid and vegetables and pour sauce all over."", ""Serve while sizzling hot.""]"
