Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Egg Fried Rice,5 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/04/egg-fried-rice-jpg-750x750.webp,"[{""name"": ""eggs"", ""amount"": ""4"", ""unit"": """", ""notes"": ""see note 1""}, {""name"": ""leftover rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": ""see note 2""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""bell pepper"", ""amount"": ""1/2"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""sweet peppers"", ""amount"": ""3"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""salt"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": ""see note 3""}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Crack the eggs and place in a bowl."", ""Heat oil in a wok. Once the oil gets hot, pour the eggs into the wok. Cook until the bottom part turns brown and somewhat crispy. Turn the eggs over and do the same to the other side."", ""Add the peppers and onion. Saut\u00e9 the ingredients for 1 minute while breaking the eggs apart."", ""Add half of the leftover rice. Stir fry for 2 minutes."", ""Add the remaining rice. Continue cooking until all the ingredients are well blended."", ""Pour the sesame oil and soy sauce. Continue stir frying for 2 minutes."", ""Season with salt and sugar and add the green onions. Toss until well blended."", ""Transfer to a serving plate. Serve with your favorite main dish."", ""Share and enjoy!""]"
Chicken Fried Rice,5 minutes,20 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2013/01/best-fried-rice-750x750.jpg,"[{""name"": ""cooked white rice"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""chicken breast"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""boneless""}, {""name"": ""frozen mixed vegetables"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": ""carrots, green peas, and corn""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Cut the chicken into small pieces. Arrange in a bowl and combine with the sauce ingredients. Mix well. Set aside."", ""Heat the oil in a pan. Fry the beaten eggs until done. Remove the cooked eggs from the pan. Chop it into pieces, and then set it aside."", ""Using the remaining oil (add more if needed), saute the garlic and onion."", ""Add the marinated chicken once the onion softens. Stir-fry for 2 to 3 minutes."", ""Add the vegetables. Continue stir-frying for 2 minutes."", ""Add the rice. Toss until all the ingredients are well blended. Continue cooking for 3 minutes."", ""Season with salt and ground black pepper."", ""Transfer to a serving plate. Serve immediately.""]"
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-750x750.jpg,"[{""name"": ""eggs"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""cheddar cheese"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""grated""}, {""name"": ""green onions"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooked rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""strips bacon"", ""amount"": ""8"", ""unit"": """", ""notes"": ""cut into small pieces""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use."", ""Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown."", ""Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes."", ""Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside."", ""Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside."", ""Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan."", ""Add the butter. Let it melt. Cook the tomato for 1 minute."", ""Add green onions and put the sauteed onion back into the pan while distributing it evenly."", ""Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese."", ""Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast."", ""Share and enjoy!""]"
Ginataang Mais at Malagkit Sweet Corn and Glutinous Rice in Coconut Milk,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2018/03/Gimataang-Mais-at-Malagkit-Recipe-728x750.jpg,"[{""name"": ""coconut cream"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""glutinous rice"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""malagkit""}, {""name"": ""sweet corn"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""granulated white sugar"", ""amount"": ""1/2 to 3/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""vanilla extract"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""a pinch of salt"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Pour coconut milk and coconut cream in a cooking pot. Let it boil."", ""Once it starts to boil, add glutinous rice. Stir continously for 10 minutes."", ""Add sugar. Stir."", ""Add sweetcorn into the pot. Stir and continue to cook in low heat for 8 minutes. Note you can cook this longer to make the corn and rice softer."", ""Add vanilla extract and salt. Stir."", ""Transfer to a serving bowl. Serve"", ""Share and enjoy!""]"
Pineapple Fried Rice,10 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/easy-pinespple-fried-rice-jpg-webp-750x750.webp,"[{""name"": ""CDO Holiday Ham"", ""amount"": ""300"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""leftover rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Pineapple Tidbits"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""roasted cashew nuts"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""bell pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""green onion"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Beat the egg. Heat 2 tablespoons of cooking oil in a pan. Pour the beaten egg and fry until firm. Turn it over and do the same to the other side. Remove the egg and slice into smaller pieces."", ""Heat oil in a pan. Saute garlic and onion."", ""Add pineapple tidbits. Saute for 1 minute."", ""Add CDO Holiday Ham. Continue sauteing for 2 minutes."", ""Add bell pepper, cashew, and green peas. Stir."", ""Add leftover rice. Toss and then stir fry for 1 minute."", ""Pour soy sauce and add green onions."", ""Season with salt and ground black pepper and then add sliced egg. Transfer the pineapple fried rice to a serving plate. Serve. Share and enjoy.""]"
Breakfast Burrito,10 minutes,10 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/burrito-wrap-jpg-webp-750x750.webp,"[{""name"": ""CDO Funtastyk Young Pork Tocino"", ""amount"": ""225"", ""unit"": ""g"", ""notes"": """"}, {""name"": ""cooked rice"", ""amount"": ""2 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""cheddar cheese"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""shredded""}, {""name"": ""flour tortillas"", ""amount"": ""4"", ""unit"": """", ""notes"": """"}, {""name"": ""romaine lettuce"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": ""shredded""}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""fresh milk"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Cook the tocino by heating 3 tablespoons of cooking oil in a pan. Adjust your stove between low to medium heat setting. Fry both sides of our CDO Funtastyk Young Pork Tocino until it browns (note: no need to boil). Remove the tocino from the pan. Slice it into serving pieces. Set aside"", ""Make the scrambled eggs by combining eggs and fresh milk. Beat until the mixture smoothens. Heat a pan and melt the butter. Once the butter gets hot enough, pour the egg mixture and stir constantly while cooking. Once the texture becomes less runny, add 2 tablespoons of shredded cheddar cheese, and then stir. Transfer to a clean plate. Set aside."", ""Prepare the rice by pouring vinegar over it. Mix well and set aside."", ""Assemble the burrito. Start by spreading the rice over the tortilla. Top with lettuce, tomato, cheese, egg, and CDO Funtastyk Young Pork Tocino. Secure the contents by wrapping the flour tortilla. Arrange on a serving platter. Serve for breakfast. Share and enjoy!""]"
Tocino Fried Rice,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/tocino-fried-rice-panlasang-pinoy-recipe-jpg-webp-750x750.webp,"[{""name"": ""CDO Funtastyk Young Pork Tocino"", ""amount"": ""225"", ""unit"": ""g"", ""notes"": """"}, {""name"": ""leftover rice"", ""amount"": ""5"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": ""diced""}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat 3 tablespoons of cooking oil in a pan. Adjust your stove between low to medium heat setting. Fry both sides of our CDO Funtastyk Young Pork Tocino until it browns (note: no need to boil). Remove the tocino from the pan. Slice it into serving pieces. Set aside."", ""Crack the eggs and beat. Heat the same pan and add the remaining 2 tablespoons of cooking oil. Fry the beaten egg until done. Put it on a clean plate and cut into small pieces. Set aside."", ""Melt butter on the same pan. Add the tocino. Cook for 30 seconds."", ""Add the leftover rice. Toss and continue cooking for 3 minutes."", ""Season with soy sauce, salt, and ground black pepper. Toss until all ingredients are well blended."", ""Add carrots and green peas. Continue cooking for 2 minutes."", ""Put the eggs back into the pan. Toss and cook for 30 seconds."", ""Transfer the tocino fried rice on a serving plate. Serve. Share and enjoy!""]"
Sisig Paella,15 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2022/11/sisig-paella-recipe-jpg-webp-750x750.webp,"[{""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""grilled and diced""}, {""name"": ""Knorr Pork Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""chorizo de Bilbao"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""quail eggs"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""paella rice"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""3"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""green onions"", ""amount"": ""\u00bc"", ""unit"": ""cups"", ""notes"": ""chopped""}, {""name"": ""smoked paprika"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""long green pepper"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""red bell pepper"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""1"", ""unit"": """", ""notes"": ""wedged""}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2 \u00bd"", ""unit"": ""teaspoons"", ""notes"": """"}]","[""Heat oil. Saut\u00e9 onion and garlic until the onion softens."", ""Add chorizo, pork belly, and Knorr Pork Cube. Saut\u00e9 for 1 minute."", ""Add the paella rice. Cook for 1 minute while stirring."", ""Pour the water into the pan and add Knorr Liquid Seasoning and bell pepper. Stir. Cover the pot. Continue cooking until the rice is done."", ""Sprinkle green onions on top. Crack the eggs and top over the rice. Add long green pepper. Cover and cook for 2 minutes."", ""Combine the dressing ingredients and drizzle over the sisig paella. Serve with lemon wedges."", ""Share and enjoy!""]"
Tapa and Egg Fried Rice,NA,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/07/tapa-and-egg-fried-rice-recipe_-750x750.jpg,"[{""name"": ""horse meat"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""sliced into thin pieces.""}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": ""crushed""}, {""name"": ""soy sauce"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""lemon lime soda"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""leftover rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""3"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""green onion"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""optional""}]","[""Start making the tapa by combining garlic, soy sauce, salt, and ground black pepper in a bowl. Stir. Add the meat and mix well. Cover the bowl and refrigerate for at least 3 hours."", ""Slice the meat into thinner and smaller pieces as needed. Arrange it in a pan and pour-in water and cooking oil. Let boil."", ""Add the lemon lime soda. Continue cooking uncovered until the liquid completely evaporates."", ""Fry the tapa in remaining oil for 2 minutes. Remove from the pan and set aside."", ""Make the egg fried rice by frying the eggs in the remaining oil."", ""Once completely cooked, cut the eggs into smaller pieces using your spatula."", ""Add onion, half of the green onions, and bell pepper. Cook for 2 minutes while continuously stirring."", ""Put the leftover rice into the pan and then toss until all the ingredients are well distributed."", ""Add soy sauce and sesame oil. Continue to stir fry for 3 to 5 minutes. Note: You may add salt if needed."", ""Top with remaining green onions. Transfer to a serving plate and serve with the fried tapa. Share and enjoy!""]"
Sushi Bake,10 minutes,35 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2022/01/Sushi-Bake-Recipe-jpg-750x750.webp,"[{""name"": ""cooked white rice"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""rice vinegar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""granulated sugar"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cream cheese"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""softened""}, {""name"": ""sour cream."", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""optional""}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Kani"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""(imitation crab meat) chopped""}, {""name"": ""cucumber"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": ""diced into small pieces""}, {""name"": ""Furikake"", ""amount"": ""5"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""masago"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""fish roe, optional""}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""5"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""Sriracha sauce"", ""amount"": ""1"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""avocado"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}]","[""Preheat the oven to 400F."", ""Combine rice vinegar, sugar, and salt in a bowl. Pop in the microwave for 15 seconds. Stir until the vinegar completely dilutes."", ""Put the cooked rice in a large bowl. Combine with the vinegar mixture. Gently toss until the rice gets coated completely."", ""Spread the rice mixture evenly in a baking dish. Lightly top with furikake. Set aside."", ""Make the creamy topping by combining all the cream topping ingredients in a bowl. Mix well. Spread over the rice."", ""Top with remaining furikake. Bake for 18 minutes."", ""Make the sriracha mayo topping by combining 5 Tablespoons of Lady\u2019s Choice Mayonnaise with 1 Tablespoon sriracha sauce. Mix well and then transfer into a condiment squeeze bottle. Set aside."", ""Remove the sushi bake from the oven. Top it with masago and avocado slices. Drizzle sriracha mayonnaise on top."", ""Slice a portion of the sushi bake and place over a small piece of Nori sheet. Serve. Share and enjoy!""]"
