Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Pork and Shrimp Siomai with Chili Garlic Oil,30 minutes,NA,6,https://panlasangpinoy.com/wp-content/uploads/2024/02/pork-and-shrimp-siomai-with-chili-oil-750x750.jpg,"[{""name"": ""ground pork"", ""amount"": ""3"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""shrimp minced"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""see notes""}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""12"", ""unit"": ""ml."", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""carrot"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""green onion"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": ""minced""}, {""name"": ""cornstarch"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""wonton wrapper"", ""amount"": ""50"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""2"", ""unit"": ""heads"", ""notes"": ""peeled""}, {""name"": ""Thai chili pepper"", ""amount"": ""1/4"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""star anise"", ""amount"": ""1"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""bay leaves"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""brown sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""see notes""}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""see notes""}]","[""Prepare the shumai by combining pork, shrimp, onion, carrot, green onion, and egg in a bowl. Mix well and then add Knorr Liquid Seasoning, sesame oil, salt, and ground black pepper. Continue mixing until the ingredients are well distributed."", ""Gradually add the cornstarch as needed. Note: this is a binding ingredient that helps absorb moisture from the mixture."", ""Put steamer liners on your steamer. Arrange the siomai on top. Steam for 20 to 30 minutes."", ""Make the chili garlic oil by mincing the garlic and Thai chili pepper in a food processor. "", ""Pour 1 1/2 cups of cooking oil in a wok and then add the minced garlic and chili peppers along with star anise and dried bay leaves. Turn on the heat of the stove to the lowest setting. Gradually stir the mixture while cooking for 30 to 45 minutes."", ""Add vinegar, brown sugar, salt, and oyster sauce unto the mixture. Continue cooking for 3 minutes. "", ""Remove the star anise and dried bay leaves."", ""Arrange the siomai on a serving plate and top with chili garlic oil then serve with a dipping sauce composed of soy sauce and calamansi."", ""Share and enjoy!""]"
Lemon Garlic Shrimp Pasta,5 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2022/10/fetuccine-pasta-recipe-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""deveined and shells removed""}, {""name"": ""fettuccine pasta"", ""amount"": ""\u00bd"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""all-purpose cream"", ""amount"": ""7.6"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""crushed and chopped""}, {""name"": ""grape tomatoes"", ""amount"": ""15"", ""unit"": """", ""notes"": ""halved""}, {""name"": ""parmesan cheese"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""olive oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Cook pasta according to package instructions. You can add a teaspoon of salt before boiling. Set aside."", ""Heat a pan. Pour-in olive oil. Add the shrimp once the oil gets hot. Saute for 2 minutes or until both sides of the shrimp turns orange in color. Remove the shrimp from the pan and transfer to a clean plate. Set aside."", ""Heat the remaining oil (if applicable. Otherwise add 2 tablespoons of olive oil). Add 2 tablespoons of butter and continue cooking until the butter melts and starts to bubble."", ""Add garlic. Cook while continuously stirring for 30 seconds."", ""Add grape tomatoes. Continue saut\u00e9ing for 1 minute."", ""Pour the all-purpose cream into the pan and then add \u00bc cup of pasta water (this is the water used to cook the fettuccine). Stir and then add the lemon zest. Let the mixture slowly boil (use medium heat setting). Continue cooking for 1 minute. Season with salt and ground black pepper."", ""Toss the pasta into the pan. Add the shrimp, parsley, and remaining butter. Continue tossing until all ingredients are incorporated. Top with more parmesan cheese if desired."", ""Serve warm. Share and enjoy!""]"
Healthy Ginataang Gulay with Tofu and Shrimp,5 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2022/03/Healthy-Ginataang-Gulay-with-Tofu-and-Shrimp-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""6 to 8"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""tofu"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""diced and fried""}, {""name"": ""Knorr Ginataang Gulay Mix"", ""amount"": ""40"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""long green beans"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""broccoli"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""turmeric powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""thumbs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced into strips""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""water"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a wok or wide pan. Fry shrimp for 1 minute per side. Remove from the pan and set aside."", ""Using the remaining oil, saut\u00e9 onion, garlic, and ginger."", ""Add carrot, long green beans. Cook for 1 minute."", ""Add broccoli, bell pepper, and half of the fried tofu. Cook for 2 minutes."", ""Combine Knorr Ginataang Gulay Mix with 1 \u00bd cups water. Mix well and then pour into the pan."", ""Add turmeric powder and fried shrimp. Cover the pan and continue cooking for 5 to 7 minutes or until the vegetables are cooked according to your preference."", ""Season with ground black pepper and salt."", ""Add the remaining tofu. Serve with rice. Share and enjoy!""]"
"Ginataang Hipon, Sitaw, at Kalabasa",10 minutes,40 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2014/02/Ginataang-Hipon-Sitaw-at-Kalabasa-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""cleaned""}, {""name"": ""strings beans"", ""amount"": ""10"", ""unit"": """", ""notes"": ""sitaw, cut into 2 1/2 inch length""}, {""name"": ""kalabasa"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": ""squash, cubed""}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""medium yellow onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""bagoong alamang"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""shrimp paste""}, {""name"": ""malunggay leaves"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat oil in a cooking pot."", ""Saute the garlic and onion until the onion becomes soft."", ""Put-in the shrimp. Cook for 1 to 2 minutes. Remove from the pot and set aside."", ""Meanwhile, put-in the bagoong alamang and pour-in the coconut milk. Stir and let boil."", ""Add the kalabasa. Cook for 8 to 12 minutes or until tender."", ""Put the shrimp back in the pot. Stir and cook for a minute."", ""Add the string beans (sitaw) and malunggay leaves. Cook for 2 to 3 minutes."", ""Add salt and pepper to taste."", ""Transfer to a serving plate. Serve."", ""Share and enjoy!""]"
Coconut Shrimp,10 minutes,7 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2022/01/How-to-Cook-Coconut-Shrimp-Appetizer-jpg-750x750.webp,"[{""name"": ""large shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""cleaned and shell removed""}, {""name"": ""bread crumbs"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sweetened desiccated coconut"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""fresh milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""baking powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""minced garlic"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""rice vinegar"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Thai chili pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""ketchup"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""Salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Make the Sweet chili sauce by combining Good Life Minced Garlic, Thai chili pepper, and water in a food processor or blender. Blitz for 10 seconds. Set aside."", ""Pour vinegar in a saucepan. Let boil."", ""Pour the garlic, chili, and water mixture. Stir and cook for 2 minutes."", ""Add sugar. Stir until sugar dilutes completely. Season with salt and add ketchup."", ""Combine cornstarch and 1 \u00bd tablespoons of water. Stir until a slurry is formed. Pour the slurry into the saucepan. Stir right away. Continue cooking in medium heat while stirring until the sauce thickens to your desired consistency. Set the sauce aside."", ""Prepare the shrimp by seasoning with salt and ground black pepper. Let it stay for 5 minutes."", ""Make the batter by combining all batter ingredients in a bowl. Stir until the mixture smoothens. Set aside."", ""Combine Good Life Bread Crumbs and desiccated coconut in a bowl. Mix well. Set aside."", ""Dredge shrimp in flour one piece at a time. Dip it in the batter afterwards. Let the excess batter drip. Roll it next in bread crumb and desiccated coconut mixture. Arrange the coated shrimp on a clean plate. Note: Make sure that both sides get coated completely. Perform this step until all the shrimp are coated."", ""Heat oil in a pan. Fry the coconut shrimp by batch. You can flip the shrimp multiple times while frying until both sides turn golden brown in color."", ""Place the coconut shrimp on a plate lined with a paper towel after frying."", ""Arrange on a serving plate and serve with sweet chili sauce."", ""Share and enjoy!""]"
Garlic Butter Shrimp Pancit Canton,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2021/12/Garlic-Butter-Shrimp-Pancit-Canton-Recipe-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""10"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": ""fried""}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""pancit canton"", ""amount"": ""21"", ""unit"": ""ounces"", ""notes"": ""flour noodles""}, {""name"": ""water"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cabbage"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": ""shredded""}, {""name"": ""lemon"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""head garlic"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""5"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""green onion"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""Tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Melt butter in a wok. Add cooking oil."", ""Put the garlic in the wok. Stir-fry until it turns light brown."", ""Add shrimp. Cook each side for 1 minute."", ""Squeeze the lemon over the shrimp. Cover the wok. Continue cooking for 1 minute. Season with salt."", ""Remove the shrimp from the wok and place in a clean plate. Leave the juices in the wok."", ""Allow the juices to evaporate until you are only left with the fats (butter and oil mixture)."", ""Saut\u00e9 onion until it softens and then add soy sauce and water. Let it boil."", ""Add Knorr Shrimp cube. Stir."", ""Put the cabbage and carrot in the wok. Cook for 30 seconds."", ""Add the noodles. Gently toss while cooking. Cook until the noodles completely absorb the liquid."", ""Add oyster sauce and green onion. Season with ground black pepper. Toss until all ingredients are well distributed."", ""Arrange the pancit canton in a serving plate and then top with shrimp and fried egg."", ""Share. Serve and enjoy!""]"
Halabos na Hipon with Butter,5 minutes,10 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2021/06/halabos-na-hipon-with-butter-recipe-jpg-728x750.webp,"[{""name"": ""shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""deveined""}, {""name"": ""lemon lime soda"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""parsley"", ""amount"": ""1"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""salt"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Heat pan and then add shrimp. Stir."", ""Pour lemon lime soda. Let it boil while gently stirring shrimp once in a while. Continue cooking until the liquid reduces to half."", ""Season with salt and add butter. Let the butter melt. Continue cooking for 1 to 2 minutes."", ""Add parsley. Stir."", ""Transfer to a serving plate. Serve warm"", ""Share and enjoy.""]"
Kung Pao Shrimp,5 minutes,15 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2015/05/kung-pao-shrimp.jpg,"[{""name"": ""large shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""head and shell removed""}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""scallions"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": ""chopped""}, {""name"": ""peanuts"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""kung pao sauce"", ""amount"": ""3/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""zucchini"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""dried red chili"", ""amount"": ""5"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""thumb"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""minced""}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and pepper to taste."", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat a pan or wok then pour the cooking oil."", ""Once the cooking oil gets hot, quickly saute the ginger and garlic. Do this fast to prevent the spices from getting burnt."", ""Put-in the dried chili and peanuts. Stir fry for 1 minute."", ""Add the onion and zucchini. Cook for 1 minute."", ""Put-in the bell peppers. Stir-fry for 2 minutes."", ""Add the shrimp. Continue to stir-fry for 2 to 5 minutes. do not overcook the shrimp"", ""Pour-in the kung pao sauce. Stir and cook for 1 minute."", ""Add the scallions. Sprinkle salt and pepper, if needed. Try to taste your dish at this point to see if you will need to add salt and pepper."", ""Stir and transfer to a serving plate."", ""Share and enjoy!""]"
Shrimp Laing,10 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2020/03/shrimp-laing-recipe.jpg,"[{""name"": ""dried taro leaves"", ""amount"": ""2"", ""unit"": ""oz."", ""notes"": """"}, {""name"": ""shrimp"", ""amount"": ""10"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""coconut milk"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""shrimp paste"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""ginger"", ""amount"": ""3"", ""unit"": ""thumbs"", ""notes"": ""Julienne""}, {""name"": ""Thai chili pepper"", ""amount"": ""6"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""pork fat"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Ground white pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Clean the shrimp by cutting the antenna and deveining. Set aside."", ""Sear pork fat in a cooking pot. Continue cooking until enough oil gets extracted from it."", ""Saut\u00e9 onion, garlic, and ginger using the oil from the pork."", ""Once the onion tenderizes, pour coconut milk into the pot and let it boil."", ""Add chili peppers, shrimp paste, and dried taro leaves. Cover and cook for 5 minutes."", ""Push the leave to submerge in coconut milk. Continue boiling on a covered pot for 30 minutes."", ""Stir the mixture and adjust the heat between low to medium. Cover and cook for 45 to 60 minutes or until the leaves get very soft."", ""Season with ground pepper and add shrimp. Cook for 3 minutes."", ""Transfer to a serving plate. Serve. Share and enjoy with warm rice.""]"
Garlic Butter Shrimp,10 minutes,12 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2009/03/garlic-butter-shrimp-1.jpg,"[{""name"": ""shrimp"", ""amount"": ""2"", ""unit"": ""lbs"", ""notes"": ""cleaned""}, {""name"": ""parsley"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""chopped""}, {""name"": ""butter"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": ""crushed""}, {""name"": ""lemon lime soda"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lemon juice"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Marinate the shrimp in lemon soda for about 10 minutes"", ""Melt the butter in a pan. "", ""Add the garlic. Cook in low heat until the color turns light brown"", ""Put-in the shrimp. Adjust heat to high. Stir-fry until shrimp turns orange."", ""Season with ground black pepper, salt, and lemon juice. Stir."", ""Add parsley. Cook for 30 seconds."", ""Serve hot. Share and Enjoy!""]"
