Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Special Lunch Menu,20 minutes,45 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/04/inihaw-na-pusit-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""kg."", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Calamansi"", ""amount"": ""5"", ""unit"": """", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""8"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""large squid"", ""amount"": ""1"", ""unit"": ""kg."", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""ginger"", ""amount"": ""1"", ""unit"": ""thumb"", ""notes"": ""grated""}, {""name"": ""eggplants"", ""amount"": ""4"", ""unit"": """", ""notes"": ""grilled""}, {""name"": ""tomatoes"", ""amount"": ""3"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""red onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""white vinegar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""fresh milk"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Selecta Vanilla Ice Cream"", ""amount"": ""4"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Whipping cream"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Prepare the pork by combining the pork belly, Knorr Liquid Seasoning, and calamansi. Mix well. Marinate for at least 30 minutes."", ""Make the ensaladang talong by combining diced tomato and onion in a bowl. Mix well. Divide this into two equal parts. Put the other half into a separate bowl. Set it aside for now. This will be used for the ensalada later."", ""Meanwhile, work on the other bowl by adding Knorr Liquid seasoning and squeezing 2 pieces of calamansi. Mix well. This will be used as stuffing for the squid. Stuff the squid with the mixture and heat-up your grill."", ""Grill the eggplants until the inside part softens. Let it cool down and peel the skin off. Mash the eggplant and combine with the first bowl with tomato and onion. Combine white vinegar, ground black pepper, and sugar. Mix well. Pour thus into the bowl with eggplant. Toss until well blended. Top with bagoong alamang."", ""Grill the squid until it gets cooked completely. Remember to not overcook it as it can get tough. Remove from the grill and arrange on a serving plate."", ""Start grilling the pork belly. You can make the basting sauce by combining Knorr Liquid Seasoning, calamansi, banana ketchup, and 2 teaspoons of cooking oil. Continue grilling the pork and turn it over every few minutes while basting until it gets completely cooked. Slice into serving pieces and arrange on a clean plate."", ""Make the milk shake by scooping 4 cups of Selecta ice cream in a blener. Add milk. Blend for 30 seconds. Transfer to a tall glass. Top with whip cream."", ""Serve everything together with lots of rice on the side. Share and enjoy!""]"
Inihaw na Liempo at Pusit,NA,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/03/inihaw-na-baboy-at-pusit-750x750.jpg,"[{""name"": ""pork belly"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""sliced""}, {""name"": ""crushed pineapple"", ""amount"": ""14"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": """"}, {""name"": ""banana ketchup"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": ""minced""}, {""name"": ""squid"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""large sized""}, {""name"": ""granulated white sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""baking soda"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""lemon"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": """", ""notes"": ""cored and diced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""ground black pepper"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}]","[""Combine pork belly and crushed pineapple in a resealable bag. Refrigerate overnight. Note: this will add flavor to the meat and will help tenderize it. Separate the crushed pineapple afterwards and discard it."", ""Combine the marinade/basting sauce ingredients in a bowl. Pour three quarters of the mixture in the resealable bag with the pork belly. Marinate for at least 3 hours."", ""Prepare the squid by peeling off its skin. Combine it with sugar, baking soda, and juice of half of a lemon. Mix well and let it stay for 1 hour. Note: this will tenderize the squid. Rinse with running water."", ""Make the squid filling by combining tomato, onion, ground black pepper, and Knorr Liquid Seasoning. Mix well. Stuff the mixture inside the squid and secure the head using toothpicks."", ""Heat-up the grill and then start grilling the pork belly while brushing with basting sauce after every turn. Grill-up the squid. Remember not to overcook it as it can get tough."", ""Serve with spicy vinegar or your favorite dipping sauce. Share and enjoy!""]"
Sizzling Pusit,7 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2021/04/sizzling-pusit.jpg,"[{""name"": ""squid"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""(large) cleaned""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced thinly""}, {""name"": ""bell pepper"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""cut into squares""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""wedged""}, {""name"": ""ginger"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": ""minced""}, {""name"": ""celery stalk"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": ""sliced""}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""margarine"", ""amount"": ""1 \u00bd"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""\u00bd"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1 \u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""banana ketchup"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking wine"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""margarine"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Make the sauce by melting 2 tablespoons of margarine in a pan. Add flour. Stir and continue cooking using medium to high heat for 1 minute. Add Knorr Shrimp Cube. Continue stirring until all ingredients are well blended. Add Knorr Liquid Seasoning, banana ketchup, cooking wine, and water. Stir and let boil. Season with garlic powder and onion powder. Set aside."", ""Heat 2 tablespoons of cooking oil in a pan. Saut\u00e9 ginger and onion until the layers of the onion separate."", ""Stir-in carrot and celery. Cook for 1 minute."", ""Add bell pepper and squid. Continue cooking for 2 minutes. Season with salt and ground black pepper."", ""Heat 1 \u00bd tablespoons margarine in a metal plate. Add squid and vegetables and pour sauce all over."", ""Serve while sizzling hot.""]"
Adobong Pusit,15 minutes,15 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2020/02/easy-adobong-pusit.jpg,"[{""name"": ""squid"", ""amount"": ""5"", ""unit"": ""pieces"", ""notes"": ""large, cleaned and sliced""}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""white vinegar"", ""amount"": ""5"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": ""coarse""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""sugar"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Combine squid, salt, soy sauce, and vinegar in a bowl. Mix well. Marinate for 12 minutes."", ""Heat oil in a cooking pot. Saute garlic until it starts to turn light brown. Add onion and tomato. Continue to saute until onion and tomato completely softens."", ""Pour the marinade liquid into the pot. Add ground black pepper. Let boil and then cook for 3 minute using low to medium heat. Make sure to cover the pot."", ""Add the squid. Let the sauce boil. Cover the pot and continue cooking for 3 minutes."", ""Add sugar. Stir. Remove the squid from the pot and then arrange in a bowl. Continue cooking the sauce until it reduces to half."", ""Pour the sauce over the squid. Serve. Share and enjoy.""]"
Rellenong Pusit,10 minutes,40 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2019/05/Stuffed-Squid.jpg,"[{""name"": ""squid"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""large, cleaned and gutted""}, {""name"": ""ground pork"", ""amount"": ""1/2"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced or minced""}, {""name"": ""celery"", ""amount"": ""2"", ""unit"": ""stalks"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""tomato"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""diced""}, {""name"": ""lemon"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Salt and ground black pepper"", ""amount"": """", ""unit"": """", ""notes"": ""to taste""}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""beaten""}, {""name"": ""all-purpose flour"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""10"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Combine squid, soy sauce, and juice from 1 piece lemon and marinade for 30 minutes."", ""Heat a pan and pour-in 3 tablespoons cooking oil."", ""Saut\u00e9 garlic, onion, celery, and tomato."", ""Put-in the ground pork and cook until the color turns light brown (about 5 minutes)."", ""Add carrots, salt and ground black pepper then stir. Cook for 10 to 15 minutes. Turn-off heat and let cool."", ""Stuff the marinated squid with the cooked ground pork. Insert toothpicks at the opening of the squid to secure the filling."", ""Dip the stuffed squid in beaten egg then dredge in flour. Set aside."", ""Heat another pan and pour-in 7 tablespoons of cooking oil."", ""Pan-fry the squid. Cook each side for 3 to 5 minutes. Note: Do not overcook the squid so that it will remain tender."", ""Transfer the cooked squid in a serving plate and serve."", ""Share and enjoy!""]"
Adobong Pusit,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2019/01/adobong-pusit-728x750.jpg,"[{""name"": ""medium-sized squid"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": ""(note 1)""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""(note 2)""}, {""name"": ""tomatoes"", ""amount"": ""2"", ""unit"": ""pieces"", ""notes"": ""(note 3)""}, {""name"": ""soy sauce"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""vinegar"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""crushed garlic"", ""amount"": ""5"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""tbsp"", ""notes"": """"}]","[""Heat a wok or cooking pot them pour-in soy sauce, vinegar, and water then bring to a boil."", ""Add the squid and wait for the liquid to re-boil. Simmer for 5 minutes."", ""Turn off the heat then separate the squid from the liquid. Set aside."", ""Pour-in cooking oil on a separate wok of cooking pot then apply heat."", ""When the oil is hot enough, saut\u00e9 the garlic, onions, and tomatoes."", ""Put-in the squid then cook for a few seconds."", ""Pour-in the soy sauce-vinegar-water mixture that was used to cook the squid a while back. Bring to a boil and simmer for 3 minutes."", ""Add the ink, salt, ground black pepper, and sugar then stir. Simmer for 3 minutes."", ""Transfer to a serving bowl then serve."", ""Share and enjoy!"", ""Note: If you want a thicker sauce, remove the squid from the wok or cooking pot and let the sauce boil until enough liquid evaporates. Once done, you may top the squid with the sauce.""]"
Butter Garlic Shrimp and Squid,5 minutes,12 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2017/12/Butter-Garlic-Shrimp-and-Squid.jpg,"[{""name"": ""frozen Shrimp"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""shell removed""}, {""name"": ""frozen calamari rings"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""unbreaded""}, {""name"": ""salted butter"", ""amount"": ""1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""minced garlic"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""dried chili flakes"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""chopped flat leaf parsley"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat butter in a pan."", ""Once the butter melts and starts to get hot, add the garlic. Continue to cook between low to medium heat until the garlic starts to turn light brown."", ""Add the shrimp and calamari. Stir fry for 5 minutes."", ""Sprinkle some parsley and chili flakes. Add salt if needed."", ""Transfer to a serving plate."", ""Serve. Share and enjoy!""]"
Grilled Stuffed Squid inihaw na pusit,15 minutes,15 minutes,3,https://panlasangpinoy.com/wp-content/uploads/2017/07/Grilled-Stuffed-Squid-Inihaw-na-Pusit.jpg,"[{""name"": ""large squid"", ""amount"": ""2"", ""unit"": """", ""notes"": ""cleaned""}, {""name"": ""medium ripe tomato"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced into small cubes""}, {""name"": ""medium yellow onion"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced into small cubes""}, {""name"": ""thumbs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""mirin"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""annatto oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""bunch scallions"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""lime"", ""amount"": ""1"", ""unit"": """", ""notes"": ""or 2 pieces calamansi""}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Arrange squid in a bowl. Add soy sauce, mirin, and lime. Marinate for 12 minutes."", ""Combine onion, tomato, ginger, salt, and ground black pepper in a bowl."", ""Stuff the marinated squid with scallions and onion mixture. Secure the head of the squid using a toothpick to prevent it from falling off."", ""Heat the grill and start to grill one side of the squid. Brush annatto oil on top of the squid. Continue to grill for 2 minutes."", ""Turn the squid over to grill the opposite side. Brush annatto oil on top. Continue to grill for another 2 minutes. Note: Flip the squid every 2 to 3 minutes until it gets fully cooked. Do not overcook squid as the texture will be tough and rubberlike."", ""Transfer to a serving plate. Serve with a dipping sauce composed of chopped onion, tomato, soy sauce, and vinegar."", ""Share and enjoy!""]"
Pinakbet with Squid in Coconut Milk Pinakbet sa Gata,5 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2017/04/Pinakbet-with-Squid-in-Coconut-Milk-Recipe.jpg,"[{""name"": ""medium squid"", ""amount"": ""\u00bd"", ""unit"": ""lb."", ""notes"": ""cleaned""}, {""name"": ""snake beans"", ""amount"": ""6"", ""unit"": ""pieces"", ""notes"": ""sitaw, cut in 2 inch pieces""}, {""name"": ""small butternut squash"", ""amount"": ""\u00bd"", ""unit"": """", ""notes"": ""cubed""}, {""name"": ""okra"", ""amount"": ""6 to 8"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""medium Chinese eggplant"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""small bitter melon"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""thumb ginger"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""medium onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""shrimp paste"", ""amount"": ""1 \u00bd"", ""unit"": ""tablespoons"", ""notes"": ""bagoong""}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a bowl."", ""Saut\u00e9 garlic, ginger, and onion. Continue to cook until the onion are soft."", ""Add the squid and then saut\u00e9 for 2 minutes."", ""Remove the squid. Set aside."", ""Add the butternut squash. Continue to saut\u00e9 for 3 minutes."", ""Pour the coconut milk into the cooking pot. Let boil. Cover the pot and then simmer for 10 minutes."", ""Add the okra, snake beans, bitter melon, and eggplant. Stir and cook for 8 minutes."", ""Stir in the squid, shrimp paste, and ground black pepper. Cook for 5 minutes."", ""Transfer to a serving plate. Serve."", ""Share and enjoy!""]"
Adobong Pusit sa Gata,5 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2017/04/Adobong-Pusit-Sa-Gata.jpg,"[{""name"": ""medium sized squid"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""cleaned""}, {""name"": ""coconut milk"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""vinegar"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""6 to 8"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""dried bay leaves"", ""amount"": ""4"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""fish sauce"", ""amount"": ""1 to 2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a cooking pot."", ""Add the garlic. Cook until it turns light brown."", ""Stir the squid into the pot. Partially cook the squid for 2 minutes. Remove the squid from the pot and put in a clean plate. Set aside."", ""Pour the coconut milk into the pot. Let boil."", ""Add soy sauce, vinegar, bay leaves, and ground black pepper. Cover and cook until the liquid reduces to half."", ""Add the squid back into the pot and then pour-in 1 teaspoon of fish sauce. Cover and continue to cook for 3 to 5 minutes."", ""Taste to see if the saltiness is just about right. You can add a tablespoon more of fish sauce if needed."", ""Transfer to a serving bowl. Serve with warm rice."", ""Share and enjoy!""]"
