Title,Prep Time,Cook Time,Servings,Image,Ingredients,Instructions
Creamy Tofu with Mixed Vegetables,10 minutes,35 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2024/02/creamy-tofu_-750x750.jpg,"[{""name"": ""extra firm tofu"", ""amount"": ""48"", ""unit"": ""ounces"", ""notes"": ""diced""}, {""name"": ""Knorr Cream of Mushroom"", ""amount"": ""35"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""Knorr Chicken Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": """"}, {""name"": ""all-purpose cream"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""green peas"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""carrots"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": ""diced""}, {""name"": ""corn kernels"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""minced""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""minced""}, {""name"": ""roasted garlic"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": ""optional""}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}]","[""Salt and ground black pepper to taste"", ""Deep fry the tofu until it turns golden brown. Set aside."", ""Melt butter in a pan and then add 2 tablespoons of cooking oil. Saut\u00e9 the garlic and onion until the onion softens."", ""Add the fried tofu. Saute for 30 seconds."", ""Add the green peas, carrots, and corn. Saute for 2 minutes."", ""Put-in the Knorr Chicken Cube."", ""Combine water and Knorr Cream of Mushroom. Mix well and then pour the mixture into the pan. Stir."", ""Pour the heavy cream. Adjust the heat to the lowest setting. Simmer until the sauce reduces to half."", ""Add some toasted garlic (if desired) and season with salt and ground black pepper.""]"
Tofu Fried Chicken with Chicken Gravy,NA,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/11/crispy-tofu-fried-chicken-750x750.jpg,"[{""name"": ""extra firm tofu"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Knorr Chicken Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""eggs"", ""amount"": ""2"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""water"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""\u00be"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""baking powder"", ""amount"": ""\u00bc"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""butter"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Knorr Chicken Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""onion powder"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""garlic powder"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 3/4"", ""unit"": ""cup"", ""notes"": """"}]","[""Freeze the tofu overnight. Thaw and slice into serving pieces. Press to extract the liquid from it. Set aside."", ""Meanwhile, melt half of the Knorr chicken cube in \u00be cups water. Add Knorr Liquid seasoning. Pour the mixture over the tofu. Press the tofu to absorb the marinade. Let it stay for 10 minutes."", ""While marinating, make the chicken gravy.  Melt butter in a saucepan. Add all-purpose flour. Cook in while stirring for 5 to 8 minutes or until the roux browns enough. Add Knorr Chicken Cube. Stir until melted. Pour water into the saucepan. Stir until well blended. Add onion powder, garlic powder, and ground black pepper. Continue cooking for 1 minute. Set aside."", ""Combine breading ingredients in a bowl. Using a cheese grater, grate the remaining Knorr chicken cube and combine with the breading mixture. Mix well."", ""Heat oil in a pan."", ""Gently press the marinated tofu to release the liquid marinade. Dredge it into the flour mixture, dip in beaten egg, and then dredge it back again in flour. Fry one side until golden brown. Turn it over and do the same to the opposite side. Remove from the pan and arrange on a serving plate."", ""Serve with chicken gravy and rice. Share and enjoy!""]"
Tofu and Broccoli Stir fry,5 minutes,18 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/10/tofu-and-broccoli-stir-fry-750x750.jpg,"[{""name"": ""extra firm tofu"", ""amount"": ""8"", ""unit"": ""oz."", ""notes"": ""sliced in 1/2 inch thick pieces""}, {""name"": ""sliced broccoli florets"", ""amount"": ""3"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced diagonally (optional)""}, {""name"": ""medium onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""minced garlic"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""minced ginger"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Salt and pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat a pan and then pour-in 4 tablespoons of cooking oil."", ""When the oil becomes hot, fry both sides of the sliced tofu until the texture becomes crisp (about 8 to 10 minutes per side)"", ""Remove the tofu from the pan and let cool. Slice into smaller rectangular pieces. Set aside."", ""On a clean frying pan, heat the remaining oil."", ""Saut\u00e9 the garlic, ginger, and onion"", ""Add the fried tofu slices along with the oyster sauce. Stir."", ""Put-in the broccoli florets. Stir and then cook for 5 to 8 minutes."", ""Add salt and pepper to taste."", ""Transfer to serving plate."", ""Serve with rice. Share and enjoy!""]"
Garlic Tokwa and Kangkong in Oyster Sauce,10 minutes,30 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/08/garlic-tokwa-and-kangkong-recipe-750x750.jpg,"[{""name"": ""water spinach"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""kangkong""}, {""name"": ""tofu"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": ""extra firm""}, {""name"": ""garlic"", ""amount"": ""1"", ""unit"": ""head"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""cooking oil"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1 \u00bd"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}]","[""Crush and chop the garlic. Put it on a small pan and then add \u00bd cup cooking oil. Turn on the heat and adjust it to medium setting. Once the oil starts to bubble, adjust the heat to the lowest setting. Continue cooking the garlic while stirring until it turns golden brown in color."", ""Separate the garlic from the garlic oil using a kitchen sieve. Set aside."", ""Heat the remaining 1 cup of oil on a deep small cooking pot. Add the garlic oil (leaving around 3 tablespoons for later). Fry the tofu until it turns golden brown. Remove the tofu from the pot and let it cool down before dicing it. Set aside."", ""Combine all the sauce ingredients in a bowl. Stir until well blended. Set aside."", ""Heat the remaining 3 tablespoons of garlic oil in a clean pan. Saut\u00e9 the onions until it softens."", ""Add the fried tofu and continue to saute for 30 seconds."", ""Add the chopped water spinach (kangkong). Saute for 1 minute."", ""Pour the sauce mixture into the pot. Stir and cook until the sauce thickens."", ""Add half of the browned garlic and season with salt and ground black pepper as needed."", ""Transfer to a serving plate. Top with the remaining garlic. Serve with white rice."", ""Share and enjoy!""]"
Tofu Balls Almondigas with Misua and Patola,10 minutes,45 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/07/almondigas-recipe-750x750.jpg,"[{""name"": ""misua"", ""amount"": ""3"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""Knorr Shrimp Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""patola"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""green onions"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""chopped""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""Fish sauce and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": ""5"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""firm tofu"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": """"}, {""name"": ""egg"", ""amount"": ""1"", ""unit"": """", ""notes"": ""beaten""}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""minced""}, {""name"": ""green onion"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": ""minced""}, {""name"": ""onion minced"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""all-purpose flour"", ""amount"": ""6"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""ground black pepper"", ""amount"": ""1/4"", ""unit"": ""teaspoon"", ""notes"": """"}]","[""Start making the tofu balls by pressing the tofu to drain excess liquid. Mash it in a bowl and then add all the tofu ball ingredients. Mix well. Mold into balls. Note: you have the option to fry this in oil or to use an air fryer. This recipe suggests frying these in oil."", ""Heat cooking oil in a pan. Fry the tofu balls until the exterior part turns medium brown. Remove from the pan. Set aside."", ""Heat 3 tablespoons of cooking oil in a pot. (Note: you can utilize some of the oil used to cook the tofu balls.)"", ""Saute garlic until it starts to brown. Add onion. Cook until the onion softens."", ""Pour water into the pot. Let it boil."", ""Add Knorr Shrimp Cube and fried tofu. Cook for 3 to 5 minutes."", ""Add patola. Cook for 5 minutes."", ""Put the miswa into the pot. Stir and season with fish sauce and ground black pepper."", ""Transfer to a serving plate and top with chopped green onions. Share and enjoy!""]"
Crab and Corn Chopsuey,10 minutes,20 minutes,4,https://panlasangpinoy.com/wp-content/uploads/2023/05/chop-suey-recipe-750x750.jpg,"[{""name"": ""extra firm tofu"", ""amount"": ""8"", ""unit"": ""ounces"", ""notes"": ""fried""}, {""name"": ""Knorr Crab and Corn Soup"", ""amount"": ""37"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""quail eggs"", ""amount"": ""12"", ""unit"": """", ""notes"": ""boiled""}, {""name"": ""cauliflower florets"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""broccoli florets"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""snow peas"", ""amount"": ""15"", ""unit"": """", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""cabbage"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""yellow onion"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1 \u00bd"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a wok. Saut\u00e9 onion and garlic until the onion softens."", ""Add carrot , cauliflower, and broccoli. Cook for 2 minutes."", ""Add cabbage, bell pepper, and snow peas. Toss."", ""Add soy sauce and oyster sauce and continue cooking for 2 minutes."", ""Combine water and Knorr Crab and Corn Soup Mix. Stir and pour into the wok. Let it boil."", ""Add fried tofu and quail eggs. Continue cooking until the sauce reduces and thickens."", ""Season with salt and ground black pepper as needed."", ""Transfer to a serving plate."", ""Serve. Share and enjoy!""]"
Tofu Vegetable Stir Fry,10 minutes,30 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2023/04/tofu-vegetabe-stir-fry-750x750.jpg,"[{""name"": ""cabbage"", ""amount"": ""\u00bd"", ""unit"": ""head"", ""notes"": ""sliced""}, {""name"": ""Knorr Chicken Cube"", ""amount"": ""1"", ""unit"": """", ""notes"": """"}, {""name"": ""baby bok choy"", ""amount"": ""1"", ""unit"": ""bunch"", ""notes"": ""sliced""}, {""name"": ""shiitake mushrooms"", ""amount"": ""6"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""snow peas"", ""amount"": ""15"", ""unit"": """", ""notes"": """"}, {""name"": ""tofu"", ""amount"": ""12"", ""unit"": ""oz."", ""notes"": ""extra firm, cubed""}, {""name"": ""green peas"", ""amount"": ""\u00be"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""carrot"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""garlic"", ""amount"": ""4"", ""unit"": ""cloves"", ""notes"": ""crushed""}, {""name"": ""soy sauce"", ""amount"": ""2"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""sesame oil"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": """"}, {""name"": ""oyster sauce"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""cornstarch"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""1"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1/2"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""Salt and ground black pepper to taste"", ""amount"": """", ""unit"": """", ""notes"": """"}]","[""Heat 1 cup of oil in a small cooking pot. Deep fry the tofu until it turns golden brown. Set aside."", ""Heat 3 tablespoons of the same oil in a wok. Saut\u00e9 onion and garlic."", ""Add mushrooms and carrot once the onion softens."", ""Pour the soy sauce. Saut\u00e9 for 2 minutes."", ""Add snow peas, Knorr Chicken Cube, and water. Let boil."", ""Put the oyster sauce along with the cabbage, bok choy, and green peas into the wok. Toss. Cover. Cook for 3 minutes."", ""Add the fried tofu and season with sugar, salt, and ground black pepper."", ""Combine cornstarch with 3 tablespoons water. Mix well and then pour into the wok. Stir and continue cooking until the sauce thickens."", ""Finish by adding sesame oil."", ""Transfer to a serving bowl. Serve with rice."", ""Share and enjoy!""]"
Tokwat Baboy,20 minutes,30 minutes,6,https://panlasangpinoy.com/wp-content/uploads/2009/09/Tokwat-Baboy-Recipe-728x750.jpg,"[{""name"": ""pig ears"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": """"}, {""name"": ""pork belly"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""liempo""}, {""name"": ""tofu"", ""amount"": ""1"", ""unit"": ""lb"", ""notes"": ""extra firm tofu""}, {""name"": ""white vinegar"", ""amount"": ""1 1/2"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""soy sauce"", ""amount"": ""1/4"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""sugar"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""whole peppercorn"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": ""piece"", ""notes"": ""sliced""}, {""name"": ""scallions"", ""amount"": ""2"", ""unit"": ""stalks"", ""notes"": ""cut in 1/2 inch length""}, {""name"": ""ground black pepper"", ""amount"": ""1/8"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""water"", ""amount"": ""5"", ""unit"": ""cups"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""2"", ""unit"": ""cups"", ""notes"": """"}]","[""Pour-in water in a pot and bring to a boil"", ""Add salt and whole peppercorn"", ""Put-in the pig\u2019s ears and pork belly then simmer until tender (about 30 mins to 1 hour)"", ""Pour cooking oil on a separate pan and allow to heat"", ""When the oil is hot enough, deep-fry the tofu until color turns golden brown and outer texture is somewhat crispy"", ""Cube the fried tofu and slice the boiled pig\u2019s ears and pork belly into bite-sized pieces then set aside"", ""Combine the sugar, salt, soy sauce, and vinegar in bowl. Stir."", ""Microwave for 1 minute."", ""Add the ground black pepper, onions, green onions, and chili pepper. Transfer the sauce in a serving bowl."", ""Place the sliced meat and tofu in a serving plate with the bowl of sauce by the side"", ""Serve hot! Share and Enjoy!""]"
Baked Garlic Salmon and Tofu Sisig,10 minutes,NA,4,https://panlasangpinoy.com/wp-content/uploads/2022/08/Baked-salmon-2-jpg-750x750.webp,"[{""name"": ""salmon fillet"", ""amount"": ""2"", ""unit"": ""lbs."", ""notes"": """"}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""lemon juice"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""notes"": """"}, {""name"": ""Parmesan cheese"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""toasted garlic"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}, {""name"": ""salt"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""tofu"", ""amount"": ""1"", ""unit"": ""lb."", ""notes"": ""cut into cubes""}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""green bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""diced""}, {""name"": ""butter"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": ""unsalted""}, {""name"": ""Lady\u2019s Choice Mayonnaise"", ""amount"": ""\u00bd"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""Knorr Liquid Seasoning"", ""amount"": ""2"", ""unit"": ""teaspoons"", ""notes"": ""Chili flavor""}, {""name"": ""onion Powder"", ""amount"": ""\u00bd"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""A dash of ground black pepper"", ""amount"": """", ""unit"": """", ""notes"": """"}, {""name"": ""water"", ""amount"": ""3"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Start making the tofu sisig by air frying the tofu for 15 minutes. Set it aside once done."", ""Make the dressing by combining all the tofu sisig dressing ingredients in a bowl. Mix well. Set aside."", ""Heat 2 tablespoons of butter in a pan. Saute the onion until it softens. Add bell peppers and continue cooking for 1 minute. Add the air fried tofu. Cook for 30 seconds."", ""Melt the remaining butter in a metal plate (sizzling plate). Transfer the tofu sisig and top with the dressing. Serve while its sizzling hot."", ""Meanwhile, start making the garlic salmon by preheating the oven to 180C (around 356F).  Rub salt all over the salmon and arrange on a baking pan."", ""Make the topping by combining Lady\u2019s Choice Mayonnaise and lemon juice. Mix well and spread over the salmon fillet."", ""Bake the salmon for 12 to 15 minutes. Top with Parmesan cheese and toasted garlic. Serve. Share and enjoy!""]"
Healthy Ginataang Gulay with Tofu and Shrimp,5 minutes,20 minutes,5,https://panlasangpinoy.com/wp-content/uploads/2022/03/Healthy-Ginataang-Gulay-with-Tofu-and-Shrimp-jpg-750x750.webp,"[{""name"": ""shrimp"", ""amount"": ""6 to 8"", ""unit"": ""pieces"", ""notes"": """"}, {""name"": ""tofu"", ""amount"": ""6"", ""unit"": ""ounces"", ""notes"": ""diced and fried""}, {""name"": ""Knorr Ginataang Gulay Mix"", ""amount"": ""40"", ""unit"": ""grams"", ""notes"": """"}, {""name"": ""carrots"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""long green beans"", ""amount"": ""12"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""broccoli"", ""amount"": ""4"", ""unit"": ""ounces"", ""notes"": """"}, {""name"": ""red bell pepper"", ""amount"": ""1"", ""unit"": """", ""notes"": ""sliced""}, {""name"": ""turmeric powder"", ""amount"": ""1"", ""unit"": ""teaspoon"", ""notes"": """"}, {""name"": ""onion"", ""amount"": ""1"", ""unit"": """", ""notes"": ""chopped""}, {""name"": ""thumbs ginger"", ""amount"": ""2"", ""unit"": """", ""notes"": ""sliced into strips""}, {""name"": ""garlic"", ""amount"": ""3"", ""unit"": ""cloves"", ""notes"": ""chopped""}, {""name"": ""water"", ""amount"": ""\u00bc"", ""unit"": ""cup"", ""notes"": """"}, {""name"": ""cooking oil"", ""amount"": ""4"", ""unit"": ""tablespoons"", ""notes"": """"}]","[""Heat oil in a wok or wide pan. Fry shrimp for 1 minute per side. Remove from the pan and set aside."", ""Using the remaining oil, saut\u00e9 onion, garlic, and ginger."", ""Add carrot, long green beans. Cook for 1 minute."", ""Add broccoli, bell pepper, and half of the fried tofu. Cook for 2 minutes."", ""Combine Knorr Ginataang Gulay Mix with 1 \u00bd cups water. Mix well and then pour into the pan."", ""Add turmeric powder and fried shrimp. Cover the pan and continue cooking for 5 to 7 minutes or until the vegetables are cooked according to your preference."", ""Season with ground black pepper and salt."", ""Add the remaining tofu. Serve with rice. Share and enjoy!""]"
